HOMO-LUMO,homo-lumo図,Hartree,eV,eV_round,x_軸
LUMO+30,286,0.09649,2.6256279860000005,2.626,3
LUMO+29,285,0.09555,2.60004927,2.6,3
LUMO+28,284,0.09444,2.569844616,2.57,3
LUMO+27,283,0.09373,2.550524522,2.551,3
LUMO+26,282,0.09254,2.518142956,2.518,3
LUMO+25,281,0.09079,2.470523006,2.471,3
LUMO+24,280,0.08944,2.433787616,2.434,3
LUMO+23,279,0.08894,2.420181916,2.42,3
LUMO+22,278,0.08572,2.3325612080000004,2.333,3
LUMO+21,277,0.07712,2.098543168,2.099,3
LUMO+20,276,0.07578,2.0620798920000003,2.062,3
LUMO+19,275,0.0752,2.04629728,2.046,3
LUMO+18,274,0.07452,2.027793528,2.028,3
LUMO+17,273,0.07195,1.95786023,1.958,3
LUMO+16,272,0.07121,1.937723794,1.938,3
LUMO+15,271,0.07003,1.905614342,1.906,3
LUMO+14,270,0.06872,1.8699674080000002,1.87,3
LUMO+13,269,0.06477,1.7624823779999998,1.762,3
LUMO+12,268,0.04344,1.182063216,1.182,3
LUMO+11,267,0.04052,1.102605928,1.103,3
LUMO+10,266,0.0278,0.75647692,0.756,3
LUMO+9,265,0.02694,0.733075116,0.733,3
LUMO+8,264,0.02589,0.7045031460000001,0.705,3
LUMO+7,263,0.0195,0.5306223,0.531,3
LUMO+6,262,0.01745,0.47483893000000005,0.475,3
LUMO+5,261,0.01705,0.46395437,0.464,3
LUMO+4,260,0.01669,0.45415826600000003,0.454,3
LUMO+3,259,0.01592,0.433205488,0.433,3
LUMO+2,258,0.01479,0.402456606,0.402,3
LUMO+1,257,0.00553,0.150479042,0.15,3
LUMO,256,-0.00949,-0.25823618600000003,-0.258,3
HOMO,255,-0.10464,-2.847400896,-2.847,3
HOMO-1,254,-0.10854,-2.953525356,-2.954,3
HOMO-2,253,-0.12832,-3.4917668479999997,-3.492,3
HOMO-3,252,-0.13914,-3.7861941960000007,-3.786,3
HOMO-4,251,-0.15421,-4.196269994000001,-4.196,3
HOMO-5,250,-0.15779,-4.293686806,-4.294,3
HOMO-6,249,-0.16117,-4.385661338,-4.386,3
HOMO-7,248,-0.16307,-4.437362998,-4.437,3
HOMO-8,247,-0.16461,-4.479268554000001,-4.479,3
HOMO-9,246,-0.16789,-4.568521946000001,-4.569,3
HOMO-10,245,-0.18161,-4.941862354,-4.942,3
HOMO-11,244,-0.18431,-5.0153331340000005,-5.015,3
HOMO-12,243,-0.19804,-5.388945656,-5.389,3
HOMO-13,242,-0.21153,-5.756027442,-5.756,3
HOMO-14,241,-0.21409,-5.825688626000001,-5.826,3
HOMO-15,240,-0.21415,-5.82732131,-5.827,3
HOMO-16,239,-0.21459,-5.839294326,-5.839,3
HOMO-17,238,-0.21647,-5.890451758,-5.89,3
HOMO-18,237,-0.21753,-5.919295842,-5.919,3
HOMO-19,236,-0.21928,-5.966915792,-5.967,3
HOMO-20,235,-0.22209,-6.043379826000001,-6.043,3
HOMO-21,234,-0.22989,-6.255628746,-6.256,3
HOMO-22,233,-0.23129,-6.293724706,-6.294,3
HOMO-23,232,-0.24375,-6.63277875,-6.633,3
HOMO-24,231,-0.24533,-6.675772762,-6.676,3
HOMO-25,230,-0.24761,-6.737814754,-6.738,3
HOMO-26,229,-0.25434,-6.920947476,-6.921,3
HOMO-27,228,-0.25527,-6.946254078,-6.946,3
HOMO-28,227,-0.27593,-7.508441602,-7.508,3
HOMO-29,226,-0.27832,-7.573476848,-7.573,3
HOMO-30,225,-0.2805,-7.632797700000001,-7.633,3
