HOMO-LUMO,homo-lumo図,Hartree,eV,eV_round,x_軸
LUMO+30,265,0.10542,2.868625788,2.869,3
LUMO+29,264,0.10403,2.830801942,2.831,3
LUMO+28,263,0.10279,2.7970598060000005,2.797,3
LUMO+27,262,0.10252,2.789712728,2.79,3
LUMO+26,261,0.09901,2.694200714,2.694,3
LUMO+25,260,0.09524,2.5916137360000002,2.592,3
LUMO+24,259,0.09401,2.558143714,2.558,3
LUMO+23,258,0.09332,2.539367848,2.539,3
LUMO+22,257,0.09204,2.504537256,2.505,3
LUMO+21,256,0.09017,2.453651938,2.454,3
LUMO+20,255,0.08447,2.298546958,2.299,3
LUMO+19,254,0.08104,2.205211856,2.205,3
LUMO+18,253,0.07809,2.1249382260000003,2.125,3
LUMO+17,252,0.07496,2.039766544,2.04,3
LUMO+16,251,0.07282,1.981534148,1.982,3
LUMO+15,250,0.07046,1.9173152439999999,1.917,3
LUMO+14,249,0.06899,1.877314486,1.877,3
LUMO+13,248,0.06864,1.8677904960000002,1.868,3
LUMO+12,247,0.04444,1.209274616,1.209,3
LUMO+11,246,0.04112,1.1189327679999999,1.119,3
LUMO+10,245,0.02991,0.813892974,0.814,3
LUMO+9,244,0.02626,0.714571364,0.715,3
LUMO+8,243,0.02493,0.678380202,0.678,3
LUMO+7,242,0.02048,0.5572894720000001,0.557,3
LUMO+6,241,0.01921,0.522730994,0.523,3
LUMO+5,240,0.01797,0.488988858,0.489,3
LUMO+4,239,0.01567,0.426402638,0.426,3
LUMO+3,238,0.01502,0.40871522800000004,0.409,3
LUMO+2,237,0.01392,0.37878268800000003,0.379,3
LUMO+1,236,0.00519,0.14122716600000002,0.141,3
LUMO,235,-0.00942,-0.256331388,-0.256,3
HOMO,234,-0.10297,-2.801957858,-2.802,3
HOMO-1,233,-0.11433,-3.1110793620000003,-3.111,3
HOMO-2,232,-0.13323,-3.625374822,-3.625,3
HOMO-3,231,-0.14494,-3.9440203160000005,-3.944,3
HOMO-4,230,-0.15429,-4.198446906,-4.198,3
HOMO-5,229,-0.15709,-4.274638826,-4.275,3
HOMO-6,228,-0.16059,-4.3698787260000005,-4.37,3
HOMO-7,227,-0.16854,-4.586209356,-4.586,3
HOMO-8,226,-0.17686,-4.812608204,-4.813,3
HOMO-9,225,-0.17888,-4.867575232,-4.868,3
HOMO-10,224,-0.1831,-4.982407340000001,-4.982,3
HOMO-11,223,-0.19634,-5.342686276,-5.343,3
HOMO-12,222,-0.21122,-5.747591908,-5.748,3
HOMO-13,221,-0.21192,-5.766639888,-5.767,3
HOMO-14,220,-0.21388,-5.819974232,-5.82,3
HOMO-15,219,-0.2158,-5.87222012,-5.872,3
HOMO-16,218,-0.21637,-5.887730618000001,-5.888,3
HOMO-17,217,-0.21654,-5.892356556,-5.892,3
HOMO-18,216,-0.21943,-5.9709975019999995,-5.971,3
HOMO-19,215,-0.2219,-6.03820966,-6.038,3
HOMO-20,214,-0.22846,-6.216716444,-6.217,3
HOMO-21,213,-0.23142,-6.2972621879999995,-6.297,3
HOMO-22,212,-0.23516,-6.399032824000001,-6.399,3
HOMO-23,211,-0.24672,-6.7135966080000005,-6.714,3
HOMO-24,210,-0.2535,-6.8980899,-6.898,3
HOMO-25,209,-0.25607,-6.968023198000001,-6.968,3
HOMO-26,208,-0.2792,-7.597422880000001,-7.597,3
HOMO-27,207,-0.28535,-7.76477299,-7.765,3
HOMO-28,206,-0.28789,-7.833889945999999,-7.834,3
HOMO-29,205,-0.29059,-7.907360726000001,-7.907,3
HOMO-30,204,-0.29709,-8.084234826000001,-8.084,3
