HOMO-LUMO,homo-lumo図,Hartree,eV,eV_round,x_軸
LUMO+30,265,0.10932,2.9747502480000003,2.975,3
LUMO+29,264,0.1076,2.92794664,2.928,3
LUMO+28,263,0.1056,2.8735238400000003,2.874,3
LUMO+27,262,0.09744,2.651478816,2.651,3
LUMO+26,261,0.09618,2.6171924520000003,2.617,3
LUMO+25,260,0.0955,2.5986887000000003,2.599,3
LUMO+24,259,0.09448,2.570933072,2.571,3
LUMO+23,258,0.0939,2.55515046,2.555,3
LUMO+22,257,0.09257,2.518959298,2.519,3
LUMO+21,256,0.09008,2.451202912,2.451,3
LUMO+20,255,0.08653,2.354602442,2.355,3
LUMO+19,254,0.07909,2.152149626,2.152,3
LUMO+18,253,0.07712,2.098543168,2.099,3
LUMO+17,252,0.07575,2.06126355,2.061,3
LUMO+16,251,0.07349,1.999765786,2.0,3
LUMO+15,250,0.07274,1.979357236,1.979,3
LUMO+14,249,0.07096,1.930920944,1.931,3
LUMO+13,248,0.0709,1.9292882600000003,1.929,3
LUMO+12,247,0.05186,1.411183204,1.411,3
LUMO+11,246,0.04528,1.2321321920000001,1.232,3
LUMO+10,245,0.03016,0.820695824,0.821,3
LUMO+9,244,0.02873,0.781783522,0.782,3
LUMO+8,243,0.02747,0.747497158,0.747,3
LUMO+7,242,0.02231,0.607086334,0.607,3
LUMO+6,241,0.01991,0.5417789740000001,0.542,3
LUMO+5,240,0.01918,0.521914652,0.522,3
LUMO+4,239,0.01814,0.493614796,0.494,3
LUMO+3,238,0.01734,0.47184567600000005,0.472,3
LUMO+2,237,0.01628,0.443001592,0.443,3
LUMO+1,236,0.01009,0.274563026,0.275,3
LUMO,235,-0.00502,-0.13660122800000002,-0.137,3
HOMO,234,-0.09888,-2.690663232,-2.691,3
HOMO-1,233,-0.10789,-2.935837946,-2.936,3
HOMO-2,232,-0.12858,-3.498841812,-3.499,3
HOMO-3,231,-0.14024,-3.816126736,-3.816,3
HOMO-4,230,-0.15224,-4.142663536,-4.143,3
HOMO-5,229,-0.15635,-4.25450239,-4.255,3
HOMO-6,228,-0.15983,-4.349198062,-4.349,3
HOMO-7,227,-0.16309,-4.437907226,-4.438,3
HOMO-8,226,-0.17337,-4.717640418,-4.718,3
HOMO-9,225,-0.1775,-4.8300235,-4.83,3
HOMO-10,224,-0.19027,-5.1775130780000005,-5.178,3
HOMO-11,223,-0.20607,-5.607453198,-5.607,3
HOMO-12,222,-0.21123,-5.747864022,-5.748,3
HOMO-13,221,-0.2117,-5.76065338,-5.761,3
HOMO-14,220,-0.21248,-5.781878272,-5.782,3
HOMO-15,219,-0.21379,-5.817525206000001,-5.818,3
HOMO-16,218,-0.21411,-5.826232854,-5.826,3
HOMO-17,217,-0.21671,-5.896982494,-5.897,3
HOMO-18,216,-0.21951,-5.973174414000001,-5.973,3
HOMO-19,215,-0.22564,-6.139980296,-6.14,3
HOMO-20,214,-0.2274,-6.18787236,-6.188,3
HOMO-21,213,-0.23977,-6.524477378,-6.524,3
HOMO-22,212,-0.2412,-6.56338968,-6.563,3
HOMO-23,211,-0.2476,-6.73754264,-6.738,3
HOMO-24,210,-0.25108,-6.832238312000001,-6.832,3
HOMO-25,209,-0.2722,-7.4069430800000005,-7.407,3
HOMO-26,208,-0.27678,-7.531571292000001,-7.532,3
HOMO-27,207,-0.27724,-7.544088536,-7.544,3
HOMO-28,206,-0.28188,-7.670349432000001,-7.67,3
HOMO-29,205,-0.28384,-7.723683776,-7.724,3
HOMO-30,204,-0.29384,-7.995797776,-7.996,3
