HOMO-LUMO,homo-lumo図,Hartree,eV,eV_round,x_軸
LUMO+30,286,0.09915,2.6980103100000004,2.698,3
LUMO+29,285,0.09616,2.616648224,2.617,3
LUMO+28,284,0.09504,2.586171456,2.586,3
LUMO+27,283,0.09476,2.578552264,2.579,3
LUMO+26,282,0.0937,2.54970818,2.55,3
LUMO+25,281,0.09247,2.516238158,2.516,3
LUMO+24,280,0.09127,2.483584478,2.484,3
LUMO+23,279,0.08897,2.420998258,2.421,3
LUMO+22,278,0.08725,2.3741946499999997,2.374,3
LUMO+21,277,0.08564,2.330384296,2.33,3
LUMO+20,276,0.07764,2.112693096,2.113,3
LUMO+19,275,0.07594,2.0664337159999997,2.066,3
LUMO+18,274,0.07504,2.041943456,2.042,3
LUMO+17,273,0.07355,2.0013984700000003,2.001,3
LUMO+16,272,0.07113,1.9355468820000001,1.936,3
LUMO+15,271,0.07096,1.930920944,1.931,3
LUMO+14,270,0.06955,1.89255287,1.893,3
LUMO+13,269,0.06845,1.86262033,1.863,3
LUMO+12,268,0.06409,1.7439786259999999,1.744,3
LUMO+11,267,0.04058,1.104238612,1.104,3
LUMO+10,266,0.0293,0.79729402,0.797,3
LUMO+9,265,0.02822,0.767905708,0.768,3
LUMO+8,264,0.02747,0.747497158,0.747,3
LUMO+7,263,0.02099,0.5711672860000001,0.571,3
LUMO+6,262,0.01818,0.4947032520000001,0.495,3
LUMO+5,261,0.01669,0.45415826600000003,0.454,3
LUMO+4,260,0.01511,0.411164254,0.411,3
LUMO+3,259,0.01422,0.386946108,0.387,3
LUMO+2,258,0.01345,0.36599333,0.366,3
LUMO+1,257,0.00103,0.028027742000000005,0.028,3
LUMO,256,-0.01205,-0.32789737,-0.328,3
HOMO,255,-0.10626,-2.891483364,-2.891,3
HOMO-1,254,-0.11123,-3.026724022,-3.027,3
HOMO-2,253,-0.11978,-3.259381492,-3.259,3
HOMO-3,252,-0.13622,-3.7067369080000003,-3.707,3
HOMO-4,251,-0.15171,-4.128241494,-4.128,3
HOMO-5,250,-0.15762,-4.289060868000001,-4.289,3
HOMO-6,249,-0.16069,-4.372599866,-4.373,3
HOMO-7,248,-0.16107,-4.382940198,-4.383,3
HOMO-8,247,-0.1624,-4.41913136,-4.419,3
HOMO-9,246,-0.16888,-4.595461232,-4.595,3
HOMO-10,245,-0.17961,-4.887439554,-4.887,3
HOMO-11,244,-0.19104,-5.198465855999999,-5.198,3
HOMO-12,243,-0.19397,-5.278195258,-5.278,3
HOMO-13,242,-0.21226,-5.775891764000001,-5.776,3
HOMO-14,241,-0.21415,-5.82732131,-5.827,3
HOMO-15,240,-0.2143,-5.83140302,-5.831,3
HOMO-16,239,-0.21482,-5.845552948000001,-5.846,3
HOMO-17,238,-0.21561,-5.8670499540000005,-5.867,3
HOMO-18,237,-0.21825,-5.93888805,-5.939,3
HOMO-19,236,-0.2218,-6.03548852,-6.035,3
HOMO-20,235,-0.22396,-6.094265144,-6.094,3
HOMO-21,234,-0.22917,-6.2360365380000005,-6.236,3
HOMO-22,233,-0.24091,-6.555498374000001,-6.555,3
HOMO-23,232,-0.24579,-6.688290006000001,-6.688,3
HOMO-24,231,-0.24792,-6.746250288000001,-6.746,3
HOMO-25,230,-0.24924,-6.782169336,-6.782,3
HOMO-26,229,-0.25848,-7.033602672,-7.034,3
HOMO-27,228,-0.25942,-7.059181388,-7.059,3
HOMO-28,227,-0.27996,-7.618103544,-7.618,3
HOMO-29,226,-0.2816,-7.662730240000001,-7.663,3
HOMO-30,225,-0.28514,-7.759058596,-7.759,3
