HOMO-LUMO,homo-lumo図,Hartree,eV,eV_round,x_軸
LUMO+30,150,0.11108,3.022642312,3.023,3
LUMO+29,149,0.10983,2.988628062,2.989,3
LUMO+28,148,0.10582,2.879510348,2.88,3
LUMO+27,147,0.10121,2.754065794,2.754,3
LUMO+26,146,0.09789,2.663723946,2.664,3
LUMO+25,145,0.096,2.6122944,2.612,3
LUMO+24,144,0.09577,2.606035778,2.606,3
LUMO+23,143,0.09427,2.5652186780000004,2.565,3
LUMO+22,142,0.09416,2.5622254239999998,2.562,3
LUMO+21,141,0.09276,2.524129464,2.524,3
LUMO+20,140,0.08939,2.432427046,2.432,3
LUMO+19,139,0.08599,2.339908286,2.34,3
LUMO+18,138,0.07977,2.170653378,2.171,3
LUMO+17,137,0.07712,2.098543168,2.099,3
LUMO+16,136,0.07572,2.060447208,2.06,3
LUMO+15,135,0.07331,1.994867734,1.995,3
LUMO+14,134,0.0719,1.9564996600000002,1.956,3
LUMO+13,133,0.07116,1.9363632240000002,1.936,3
LUMO+12,132,0.06987,1.9012605180000002,1.901,3
LUMO+11,131,0.04889,1.3303653460000002,1.33,3
LUMO+10,130,0.03178,0.8647782920000001,0.865,3
LUMO+9,129,0.03065,0.8340294100000001,0.834,3
LUMO+8,128,0.02824,0.7684499360000001,0.768,3
LUMO+7,127,0.02394,0.651440916,0.651,3
LUMO+6,126,0.0209,0.56871826,0.569,3
LUMO+5,125,0.01836,0.4996013040000001,0.5,3
LUMO+4,124,0.01726,0.46966876400000007,0.47,3
LUMO+3,123,0.01639,0.445994846,0.446,3
LUMO+2,122,0.01411,0.383952854,0.384,3
LUMO+1,121,0.00569,0.154832866,0.155,3
LUMO,120,-0.00771,-0.20979989400000001,-0.21,3
HOMO,119,-0.61513,-16.738548482,-16.739,3
HOMO-1,118,-0.6232,-16.95814448,-16.958,3
HOMO-2,117,-0.62485,-17.00304329,-17.003,3
HOMO-3,116,-0.63363,-17.241959382,-17.242,3
HOMO-4,115,-0.65015,-17.69149171,-17.691,3
HOMO-5,114,-0.65225,-17.74863565,-17.749,3
HOMO-6,113,-0.657,-17.877889800000002,-17.878,3
HOMO-7,112,-0.68636,-18.676816504,-18.677,3
HOMO-8,111,-0.69627,-18.946481478,-18.946,3
HOMO-9,110,-0.7017,-19.09423938,-19.094,3
HOMO-10,109,-0.70643,-19.222949302,-19.223,3
HOMO-11,108,-0.70829,-19.273562506,-19.274,3
HOMO-12,107,-0.71193,-19.372612002,-19.373,3
HOMO-13,106,-0.7179,-19.53506406,-19.535,3
HOMO-14,105,-0.72913,-19.840648081999998,-19.841,3
HOMO-15,104,-0.73159,-19.907588126,-19.908,3
HOMO-16,103,-0.73236,-19.928540904000002,-19.929,3
HOMO-17,102,-0.76308,-20.764475112,-20.764,3
HOMO-18,101,-0.76886,-20.921757004,-20.922,3
HOMO-19,100,-0.77816,-21.174823024,-21.175,3
HOMO-20,99,-0.7994,-21.75279316,-21.753,3
HOMO-21,98,-0.85266,-23.202072324,-23.202,3
HOMO-22,97,-0.85496,-23.264658544000003,-23.265,3
HOMO-23,96,-0.85573,-23.285611322,-23.286,3
HOMO-24,95,-0.87963,-23.935963782,-23.936,3
HOMO-25,94,-0.8822,-24.00589708,-24.006,3
HOMO-26,93,-0.89055,-24.23311227,-24.233,3
HOMO-27,92,-0.9003,-24.49842342,-24.498,3
HOMO-28,91,-0.92351,-25.130000014000004,-25.13,3
HOMO-29,90,-1.18974,-32.374491036,-32.374,3
HOMO-30,89,-1.19031,-32.390001534,-32.39,3
