Excited_State,eV,nm,f
1,1.9159,647.12,0.1975
2,2.2011,563.30,0.0282
3,2.5230,491.41,0.0001
4,2.5983,477.18,0.0015
5,2.6597,466.17,0.2736
6,2.7539,450.21,0.0002
7,2.8185,439.90,0.0004
8,2.8344,437.43,0.0020
9,2.8984,427.77,0.0023
10,2.8987,427.72,0.3463
11,2.9854,415.30,0.0040
12,2.9857,415.27,0.0031
13,3.0138,411.39,0.4520
14,3.0933,400.82,0.0060
15,3.1010,399.81,0.0471
16,3.1539,393.12,0.0116
17,3.2036,387.01,0.1096
18,3.2096,386.29,0.0056
19,3.2109,386.13,0.2049
20,3.2331,383.49,0.0021
21,3.3135,374.18,0.0101
22,3.3146,374.05,0.0754
23,3.3308,372.24,0.0032
24,3.3446,370.70,0.0241
25,3.3609,368.90,0.0014
26,3.3819,366.61,0.0035
27,3.4125,363.33,0.0109
28,3.4424,360.17,0.0000
29,3.4670,357.62,0.0022
30,3.4854,355.73,0.0030
31,3.4996,354.28,0.0002
32,3.5011,354.13,0.0001
33,3.5442,349.82,0.0027
34,3.5754,346.77,0.0221
35,3.6706,337.78,0.0009
36,3.6735,337.51,0.0021
37,3.6809,336.83,0.0361
38,3.6840,336.55,0.0006
39,3.7236,332.96,0.0194
40,3.7469,330.90,0.0001
41,3.7527,330.39,0.0004
42,3.7648,329.33,0.0511
43,3.8003,326.25,0.0067
44,3.8079,325.60,0.0010
45,3.8244,324.19,0.0072
46,3.8391,322.95,0.0013
47,3.8497,322.06,0.0149
48,3.8817,319.40,0.0011
49,3.8973,318.13,0.0160
50,3.9576,313.28,0.2756
51,3.9891,310.81,0.0725
52,3.9972,310.18,0.0138
53,4.0040,309.65,0.0069
54,4.0478,306.30,0.0049
55,4.0510,306.06,0.0006
56,4.0689,304.71,0.0000
57,4.0946,302.80,0.0042
58,4.1011,302.32,0.0005
59,4.1060,301.96,0.0079
60,4.1067,301.91,0.0062
61,4.1368,299.71,0.0032
62,4.1459,299.05,0.0040
63,4.1489,298.84,0.0007
64,4.1837,296.35,0.2233
65,4.2247,293.48,0.0156
66,4.2353,292.74,0.0544
67,4.2527,291.54,0.0009
68,4.2547,291.41,0.0014
69,4.2936,288.76,0.0003
70,4.3229,286.81,0.0053
71,4.3300,286.34,0.0008
72,4.3466,285.24,0.0020
73,4.3500,285.02,0.0009
74,4.3530,284.83,0.0004
75,4.3563,284.61,0.0007
