Excited_State,eV,nm,f
1,2.2919,540.96,0.0376
2,2.3169,535.14,0.0037
3,2.6330,470.88,0.0596
4,2.7531,450.35,0.2626
5,2.9452,420.97,0.0037
6,2.9838,415.52,0.1152
7,3.1448,394.25,0.4255
8,3.1717,390.91,0.3337
9,3.1853,389.23,0.4926
10,3.2504,381.44,0.2641
11,3.3318,372.13,0.0303
12,3.3648,368.47,0.0009
13,3.3969,364.99,0.0052
14,3.4808,356.19,0.0163
15,3.4837,355.90,0.0027
16,3.5599,348.28,0.0529
17,3.5896,345.40,0.0108
18,3.5975,344.64,0.0044
19,3.6373,340.87,0.0519
20,3.6404,340.58,0.0626
21,3.7353,331.93,0.0014
22,3.7367,331.80,0.0047
23,3.7841,327.64,0.0375
24,3.8127,325.18,0.0032
25,3.8187,324.67,0.0088
26,3.8190,324.65,0.0485
27,3.9464,314.17,0.0036
28,3.9878,310.91,0.0131
29,3.9923,310.56,0.0097
30,4.0037,309.68,0.0296
31,4.0139,308.88,0.0035
32,4.0271,307.87,0.0006
33,4.0457,306.46,0.0258
34,4.0593,305.43,0.0095
35,4.0699,304.64,0.0164
36,4.0963,302.67,0.0029
37,4.1354,299.81,0.0549
38,4.1434,299.23,0.0088
39,4.1550,298.40,0.0015
40,4.1742,297.02,0.0289
41,4.2136,294.25,0.0031
42,4.2251,293.44,0.0156
43,4.2313,293.02,0.0332
44,4.2768,289.90,0.0011
45,4.2874,289.18,0.0042
46,4.3173,287.18,0.0081
47,4.3229,286.81,0.0055
48,4.3402,285.67,0.0244
49,4.3754,283.37,0.0110
50,4.4080,281.27,0.0171
51,4.4300,279.87,0.0023
52,4.4393,279.29,0.0564
53,4.4577,278.13,0.0236
54,4.4755,277.03,0.0550
55,4.4838,276.52,0.0602
56,4.5142,274.66,0.0032
57,4.5333,273.50,0.0113
58,4.5450,272.80,0.0460
59,4.5795,270.74,0.0077
60,4.6236,268.16,0.0275
61,4.6566,266.25,0.0002
62,4.6708,265.44,0.0015
63,4.6847,264.66,0.0008
64,4.6964,264.00,0.0025
65,4.7011,263.73,0.0031
66,4.7173,262.83,0.0068
67,4.7273,262.27,0.0251
68,4.7375,261.71,0.0141
69,4.8094,257.80,0.0223
70,4.8632,254.95,0.0262
71,4.8869,253.71,0.0247
72,4.8921,253.44,0.0003
73,4.9153,252.24,0.0904
74,4.9202,251.99,0.0432
75,4.9223,251.88,0.0064
