Excited_State,eV,nm,f
1,1.8820,658.78,0.1845
2,2.2399,553.54,0.0018
3,2.5222,491.56,0.0000
4,2.5592,484.46,0.1172
5,2.6809,462.47,0.0076
6,2.7152,456.63,0.0021
7,2.7712,447.41,0.0032
8,2.8172,440.10,0.0002
9,2.8599,433.53,0.0002
10,2.9218,424.34,0.0066
11,2.9258,423.76,0.0605
12,2.9569,419.30,0.1499
13,3.0039,412.75,0.3617
14,3.0247,409.90,0.0160
15,3.0614,404.99,0.1630
16,3.1136,398.20,0.0809
17,3.1513,393.44,0.2214
18,3.2001,387.44,0.0029
19,3.2183,385.25,0.0104
20,3.2456,382.00,0.1434
21,3.3018,375.51,0.0310
22,3.3761,367.24,0.0045
23,3.3898,365.75,0.0004
24,3.4006,364.59,0.0202
25,3.4033,364.30,0.0020
26,3.4243,362.07,0.0007
27,3.4370,360.73,0.0026
28,3.4574,358.60,0.0094
29,3.4842,355.84,0.0004
30,3.5019,354.05,0.0142
31,3.5289,351.34,0.0003
32,3.5393,350.31,0.0001
33,3.5632,347.96,0.0030
34,3.7129,333.93,0.0299
35,3.7194,333.34,0.0190
36,3.7280,332.58,0.0335
37,3.7715,328.74,0.0752
38,3.7912,327.03,0.0005
39,3.8051,325.84,0.0355
40,3.8250,324.14,0.0024
41,3.8319,323.56,0.0016
42,3.8501,322.03,0.0965
43,3.8633,320.93,0.0248
44,3.8899,318.73,0.0646
45,3.9096,317.13,0.0006
46,3.9395,314.72,0.0008
47,3.9596,313.12,0.0002
48,4.0163,308.70,0.1237
49,4.0617,305.26,0.0254
50,4.0956,302.73,0.0004
51,4.1086,301.77,0.0094
52,4.1230,300.72,0.0189
53,4.1468,298.99,0.0043
54,4.1651,297.67,0.0038
55,4.1770,296.83,0.0017
56,4.2071,294.71,0.0046
57,4.2282,293.23,0.0001
58,4.2301,293.10,0.0001
59,4.2499,291.74,0.0032
60,4.2619,290.92,0.0020
61,4.2661,290.63,0.0875
62,4.2796,289.71,0.0439
63,4.2830,289.48,0.0566
64,4.2873,289.19,0.0074
65,4.3371,285.87,0.0106
66,4.3541,284.75,0.0094
67,4.3679,283.86,0.0517
68,4.3703,283.70,0.0134
69,4.3779,283.21,0.0119
70,4.3807,283.03,0.0100
71,4.3927,282.25,0.0010
72,4.4122,281.00,0.0451
73,4.4207,280.47,0.0070
74,4.4334,279.66,0.0149
75,4.4532,278.42,0.0167
