Excited_State,eV,nm,f
1,2.2893,541.58,0.0590
2,2.3687,523.42,0.0002
3,2.8707,431.90,0.0344
4,2.9974,413.64,0.0508
5,3.0626,404.84,0.0530
6,3.1179,397.65,0.8427
7,3.1520,393.35,0.3031
8,3.1789,390.02,0.5328
9,3.2518,381.27,0.0088
10,3.2821,377.76,0.0542
11,3.3750,367.36,0.0044
12,3.4629,358.04,0.0277
13,3.4740,356.89,0.0244
14,3.4852,355.74,0.0024
15,3.5225,351.98,0.0006
16,3.5644,347.84,0.0018
17,3.6219,342.32,0.0587
18,3.7048,334.65,0.0426
19,3.8427,322.65,0.0574
20,3.8855,319.10,0.0183
21,3.9359,315.01,0.0125
22,3.9440,314.36,0.0019
23,3.9759,311.84,0.0016
24,3.9803,311.49,0.0008
25,3.9909,310.66,0.0032
26,3.9977,310.14,0.0049
27,4.0472,306.35,0.0495
28,4.0643,305.06,0.0431
29,4.1049,302.04,0.0001
30,4.1230,300.71,0.0067
31,4.1684,297.44,0.0012
32,4.1947,295.58,0.0015
33,4.1971,295.41,0.0005
34,4.2138,294.24,0.0132
35,4.2385,292.52,0.0047
36,4.2441,292.13,0.0310
37,4.2460,292.00,0.0251
38,4.2599,291.05,0.0007
39,4.2708,290.30,0.0013
40,4.2779,289.83,0.0017
41,4.2851,289.34,0.0044
42,4.2895,289.04,0.0191
43,4.2897,289.03,0.0014
44,4.3169,287.21,0.0051
45,4.3289,286.41,0.0060
46,4.3382,285.80,0.0123
47,4.3486,285.11,0.0028
48,4.3700,283.72,0.0353
49,4.3800,283.07,0.1242
50,4.4189,280.58,0.0131
51,4.4604,277.97,0.0436
52,4.4654,277.65,0.0161
53,4.4737,277.14,0.0792
54,4.5005,275.49,0.0138
55,4.5107,274.87,0.0043
56,4.5151,274.60,0.0156
57,4.5368,273.29,0.0061
58,4.5580,272.01,0.0001
59,4.5695,271.33,0.0000
60,4.6049,269.25,0.0002
61,4.6232,268.18,0.0004
62,4.6354,267.47,0.0005
63,4.6472,266.79,0.0027
64,4.7611,260.41,0.0069
65,4.8019,258.20,0.0035
66,4.8185,257.31,0.0076
67,4.8253,256.95,0.0435
68,4.8419,256.07,0.0006
69,4.8840,253.86,0.0139
70,4.9013,252.96,0.0072
71,4.9079,252.62,0.0033
72,4.9083,252.60,0.0008
73,4.9217,251.92,0.0002
74,4.9622,249.86,0.0411
75,4.9702,249.45,0.0057
