Excited_State,eV,nm,f
1,1.9590,632.89,0.1949
2,2.2304,555.87,0.0309
3,2.3397,529.91,0.0010
4,2.5796,480.64,0.0922
5,2.7511,450.67,0.0000
6,2.8343,437.44,0.0208
7,2.8527,434.62,0.0001
8,2.9020,427.23,0.3204
9,2.9134,425.56,0.1180
10,2.9214,424.40,0.2260
11,2.9702,417.42,0.0117
12,3.0076,412.23,0.0924
13,3.0090,412.05,0.0002
14,3.0175,410.89,0.2647
15,3.1081,398.91,0.0041
16,3.1266,396.54,0.0235
17,3.1708,391.02,0.0156
18,3.1765,390.32,0.0078
19,3.2500,381.49,0.0059
20,3.2630,379.97,0.2444
21,3.3111,374.45,0.0042
22,3.3126,374.28,0.0253
23,3.3498,370.13,0.0020
24,3.3674,368.19,0.0008
25,3.4337,361.08,0.0001
26,3.4455,359.84,0.0058
27,3.4952,354.72,0.0000
28,3.4958,354.67,0.0000
29,3.5474,349.51,0.0032
30,3.5786,346.46,0.0001
31,3.5790,346.42,0.0043
32,3.6143,343.04,0.0001
33,3.6326,341.31,0.0041
34,3.6390,340.71,0.0646
35,3.6580,338.94,0.0024
36,3.6758,337.30,0.0019
37,3.6831,336.63,0.0014
38,3.6862,336.35,0.0080
39,3.7102,334.17,0.0086
40,3.7413,331.40,0.0470
41,3.7430,331.25,0.0000
42,3.7536,330.31,0.0452
43,3.7780,328.18,0.0028
44,3.8098,325.43,0.1566
45,3.8108,325.35,0.1606
46,3.8280,323.89,0.0025
47,3.8340,323.38,0.0000
48,3.8369,323.13,0.0871
49,3.8592,321.27,0.0004
50,3.9100,317.09,0.0041
51,3.9195,316.33,0.0209
52,3.9277,315.66,0.0015
53,3.9307,315.43,0.0021
54,3.9601,313.08,0.0258
55,3.9642,312.76,0.0975
56,3.9834,311.26,0.0083
57,3.9843,311.18,0.0012
58,4.0535,305.87,0.0406
59,4.1362,299.75,0.0037
60,4.1573,298.23,0.0135
61,4.1580,298.19,0.0125
62,4.1855,296.22,0.0005
63,4.1964,295.45,0.1590
64,4.2150,294.15,0.0521
65,4.2545,291.42,0.0103
66,4.2785,289.79,0.0079
67,4.3030,288.13,0.0002
68,4.3101,287.66,0.0595
69,4.3115,287.57,0.0021
70,4.3227,286.82,0.0006
71,4.3560,284.63,0.0171
72,4.3614,284.27,0.0244
73,4.3673,283.89,0.0001
74,4.3739,283.47,0.0002
75,4.3770,283.27,0.0004
