Excited_State,eV,nm,f
1,2.3401,529.81,0.0184
2,2.3639,524.48,0.0145
3,2.5378,488.55,0.0246
4,2.6696,464.44,0.1295
5,2.7584,449.48,0.0586
6,3.0078,412.21,0.0316
7,3.0768,402.97,0.3844
8,3.1405,394.79,0.0109
9,3.1830,389.52,0.6074
10,3.2643,379.82,0.6070
11,3.3573,369.30,0.0015
12,3.4137,363.19,0.1684
13,3.5799,346.34,0.0418
14,3.6141,343.05,0.0284
15,3.6878,336.20,0.0333
16,3.7482,330.78,0.0156
17,3.7632,329.46,0.0151
18,3.7695,328.91,0.1059
19,3.7959,326.62,0.0329
20,3.8422,322.69,0.0082
21,3.8524,321.84,0.0011
22,3.9834,311.25,0.0068
23,4.0111,309.11,0.0893
24,4.0210,308.34,0.0578
25,4.0366,307.15,0.0019
26,4.0580,305.53,0.0143
27,4.0639,305.08,0.0127
28,4.0870,303.36,0.0160
29,4.1062,301.94,0.0281
30,4.1100,301.67,0.0132
31,4.1228,300.73,0.0046
32,4.1737,297.06,0.0504
33,4.1802,296.60,0.0140
34,4.1836,296.36,0.0546
35,4.1995,295.23,0.0001
36,4.2363,292.67,0.0028
37,4.2412,292.33,0.0200
38,4.2522,291.57,0.0211
39,4.2562,291.30,0.0170
40,4.2834,289.45,0.0105
41,4.2915,288.90,0.0057
42,4.3054,287.97,0.0014
43,4.3167,287.22,0.0045
44,4.3488,285.10,0.0005
45,4.3628,284.18,0.0329
46,4.3698,283.73,0.0044
47,4.3878,282.57,0.0007
48,4.4315,279.78,0.0176
49,4.4545,278.33,0.0663
50,4.4614,277.90,0.0049
51,4.4872,276.31,0.0023
52,4.4985,275.61,0.0023
53,4.5229,274.13,0.0106
54,4.5367,273.29,0.0070
55,4.5520,272.37,0.0205
56,4.5560,272.14,0.0018
57,4.5631,271.71,0.0074
58,4.5825,270.56,0.0072
59,4.6023,269.39,0.0051
60,4.6365,267.41,0.0096
61,4.6502,266.62,0.0120
62,4.6558,266.30,0.0275
63,4.6698,265.50,0.0003
64,4.6739,265.27,0.0648
65,4.6835,264.72,0.0240
66,4.6997,263.81,0.0008
67,4.7047,263.53,0.0011
68,4.7206,262.64,0.0068
69,4.7482,261.12,0.0075
70,4.7824,259.25,0.0290
71,4.8438,255.96,0.0137
72,4.8588,255.17,0.0042
73,4.8824,253.94,0.0988
74,4.9197,252.02,0.0037
75,4.9230,251.85,0.0009
