Excited_State,eV,nm,f
1,1.9250,644.09,0.1819
2,2.2523,550.47,0.0065
3,2.4364,508.89,0.0394
4,2.6591,466.26,0.0126
5,2.6790,462.80,0.0013
6,2.7297,454.20,0.0000
7,2.7872,444.83,0.0015
8,2.8331,437.63,0.0002
9,2.8789,430.67,0.0000
10,2.9271,423.57,0.1198
11,2.9430,421.29,0.0070
12,2.9676,417.80,0.2644
13,2.9705,417.39,0.2405
14,3.0359,408.39,0.0040
15,3.0617,404.95,0.0060
16,3.1048,399.33,0.0771
17,3.1268,396.52,0.0504
18,3.1672,391.47,0.3498
19,3.2132,385.85,0.0711
20,3.3044,375.21,0.0045
21,3.3426,370.92,0.0005
22,3.3714,367.76,0.0003
23,3.3871,366.04,0.1015
24,3.4187,362.66,0.0002
25,3.4344,361.00,0.0378
26,3.4634,357.98,0.0004
27,3.5050,353.73,0.0002
28,3.5317,351.06,0.0001
29,3.5732,346.99,0.0017
30,3.6476,339.91,0.0000
31,3.6785,337.05,0.0022
32,3.6808,336.84,0.0166
33,3.6923,335.79,0.0002
34,3.6964,335.42,0.0015
35,3.7218,333.13,0.0000
36,3.7301,332.38,0.0402
37,3.7692,328.94,0.0310
38,3.7706,328.81,0.0451
39,3.7967,326.56,0.0007
40,3.8056,325.80,0.0002
41,3.8215,324.44,0.0389
42,3.8323,323.52,0.0000
43,3.8473,322.26,0.2000
44,3.8581,321.36,0.0013
45,3.8862,319.04,0.0366
46,3.9115,316.97,0.0000
47,3.9310,315.40,0.0000
48,3.9594,313.14,0.0041
49,3.9615,312.97,0.1669
50,3.9843,311.18,0.0082
51,4.0076,309.38,0.0393
52,4.0358,307.21,0.0024
53,4.0457,306.46,0.0006
54,4.0876,303.32,0.0188
55,4.1268,300.44,0.0087
56,4.1544,298.44,0.0022
57,4.1754,296.94,0.0049
58,4.1868,296.13,0.1562
59,4.2074,294.68,0.0286
60,4.2351,292.75,0.0001
61,4.2569,291.25,0.0025
62,4.2772,289.88,0.0302
63,4.2802,289.67,0.0003
64,4.2931,288.80,0.0646
65,4.2994,288.38,0.0010
66,4.3082,287.79,0.0149
67,4.3109,287.60,0.0051
68,4.3229,286.81,0.0000
69,4.3281,286.47,0.0036
70,4.3516,284.92,0.0009
71,4.3562,284.62,0.0059
72,4.3733,283.50,0.0001
73,4.3763,283.31,0.0014
74,4.3836,282.84,0.0020
75,4.3930,282.23,0.0024
