Excited_State,eV,nm,f
1,2.3647,524.31,0.0497
2,2.4336,509.47,0.0010
3,2.5943,477.90,0.0035
4,2.7073,457.96,0.0085
5,2.8606,433.42,0.0008
6,3.0357,408.41,0.0023
7,3.0869,401.64,0.0310
8,3.1561,392.84,0.9672
9,3.2264,384.28,0.8543
10,3.2545,380.96,0.0037
11,3.4888,355.38,0.0555
12,3.6793,336.98,0.0022
13,3.7067,334.49,0.0997
14,3.9102,317.08,0.0958
15,3.9178,316.46,0.0097
16,3.9768,311.77,0.0071
17,3.9893,310.79,0.0102
18,4.0116,309.07,0.0051
19,4.0143,308.86,0.0006
20,4.0320,307.50,0.0019
21,4.0542,305.81,0.0127
22,4.0764,304.15,0.0894
23,4.1051,302.03,0.0495
24,4.1236,300.67,0.1256
25,4.1438,299.20,0.0067
26,4.1511,298.68,0.0234
27,4.1749,296.97,0.0126
28,4.1999,295.21,0.0017
29,4.2141,294.21,0.0009
30,4.2194,293.85,0.0282
31,4.2270,293.32,0.0079
32,4.2602,291.03,0.0039
33,4.2656,290.66,0.0000
34,4.2881,289.14,0.0026
35,4.2955,288.64,0.0075
36,4.3003,288.31,0.0071
37,4.3031,288.12,0.0031
38,4.3046,288.03,0.0122
39,4.3201,287.00,0.0106
40,4.3335,286.10,0.0012
41,4.3502,285.01,0.0021
42,4.3560,284.63,0.0055
43,4.3642,284.09,0.0009
44,4.3736,283.48,0.0012
45,4.3802,283.06,0.0021
46,4.3921,282.29,0.0100
47,4.4093,281.19,0.0037
48,4.4267,280.08,0.0145
49,4.4442,278.98,0.0398
50,4.4574,278.15,0.0115
51,4.4799,276.75,0.0099
52,4.4908,276.08,0.0253
53,4.5271,273.87,0.0010
54,4.5339,273.46,0.0069
55,4.5468,272.68,0.0071
56,4.5524,272.35,0.0005
57,4.5704,271.28,0.0001
58,4.5735,271.09,0.0012
59,4.5827,270.55,0.0098
60,4.5921,270.00,0.0000
61,4.6043,269.28,0.0079
62,4.6089,269.01,0.0296
63,4.6130,268.77,0.0072
64,4.6192,268.41,0.0107
65,4.6228,268.20,0.0050
66,4.6314,267.70,0.0004
67,4.6396,267.23,0.0003
68,4.6530,266.46,0.0003
69,4.6551,266.34,0.0036
70,4.6831,264.75,0.0094
71,4.7254,262.38,0.0366
72,4.8148,257.51,0.0574
73,4.8331,256.53,0.0004
74,4.8724,254.46,0.0132
75,4.8736,254.40,0.0006
