Excited_State,eV,nm,f
1,1.9250,644.09,0.1819
3,2.4364,508.89,0.0394
10,2.9271,423.57,0.1198
12,2.9676,417.80,0.2644
13,2.9705,417.39,0.2405
16,3.1048,399.33,0.0771
17,3.1268,396.52,0.0504
18,3.1672,391.47,0.3498
19,3.2132,385.85,0.0711
23,3.3871,366.04,0.1015
25,3.4344,361.00,0.0378
36,3.7301,332.38,0.0402
37,3.7692,328.94,0.0310
38,3.7706,328.81,0.0451
41,3.8215,324.44,0.0389
43,3.8473,322.26,0.2000
45,3.8862,319.04,0.0366
49,3.9615,312.97,0.1669
51,4.0076,309.38,0.0393
58,4.1868,296.13,0.1562
62,4.2772,289.88,0.0302
64,4.2931,288.80,0.0646
