0,1,2,3,Excited_State,%,round_%
254,->,257,0.14504,1,4.20732032,4.2
255,->,256,0.68854,1,94.81746632000001,94.8
254,->,256,0.55965,2,62.64162449999999,62.6
255,->,257,-0.42692,2,36.45213728,36.5
253,->,256,0.68940,3,95.054472,95.1
255,->,258,0.11049,4,2.4416080200000003,2.4
255,->,264,0.68004,4,92.49088031999999,92.5
252,->,256,0.45891,5,42.11967762,42.1
254,->,256,-0.30127,5,18.152722579999995,18.2
255,->,257,-0.38964,5,30.36386592,30.4
255,->,258,-0.16973,5,5.761654579999999,5.8
252,->,256,0.20491,6,8.39762162,8.4
255,->,258,0.66106,6,87.40006471999999,87.4
255,->,259,-0.38140,7,29.093192000000002,29.1
255,->,260,0.56037,7,62.80290738000001,62.8
255,->,261,0.14822,7,4.393833679999999,4.4
255,->,260,-0.19346,8,7.48535432,7.5
255,->,261,0.66489,8,88.41574242,88.4
255,->,259,0.58480,9,68.398208,68.4
255,->,260,0.37048,9,27.451086079999996,27.5
255,->,261,0.11645,9,2.7121204999999997,2.7
254,->,257,0.66388,10,88.14733088000001,88.1
255,->,256,-0.13769,10,3.7917072200000006,3.8
255,->,262,0.69070,11,95.413298,95.4
255,->,263,0.10022,11,2.00880968,2.0
255,->,262,-0.10479,12,2.1961888199999997,2.2
255,->,263,0.68746,12,94.52025031999999,94.5
251,->,256,0.17860,13,6.379592000000001,6.4
252,->,256,0.39418,13,31.075574479999997,31.1
253,->,257,0.24804,13,12.30476832,12.3
254,->,256,0.23470,13,11.016817999999999,11.0
255,->,257,0.33845,13,22.909680499999997,22.9
255,->,268,-0.18828,13,7.08987168,7.1
255,->,265,0.50779,14,51.57013681999999,51.6
255,->,266,-0.48391,14,46.83377762,46.8
252,->,256,-0.12033,15,2.89586178,2.9
253,->,257,0.41928,15,35.15914368,35.2
254,->,256,-0.10199,15,2.08039202,2.1
255,->,265,-0.33495,15,22.438300500000004,22.4
255,->,266,-0.38424,15,29.52807552,29.5
255,->,268,0.11247,15,2.5299001800000003,2.5
255,->,267,0.70287,16,98.80524738,98.8
251,->,256,-0.10958,17,2.4015552799999997,2.4
252,->,256,-0.10057,17,2.02286498,2.0
