0,1,2,3,Excited_State,%,round_%
253,->,257,0.15606,1,4.870944720000001,4.9
254,->,257,-0.34917,1,24.383937779999997,24.4
255,->,256,0.58419,1,68.25559122,68.3
254,->,256,0.54038,2,58.40210887999999,58.4
255,->,257,0.44064,2,38.83272192,38.8
253,->,256,0.56125,3,63.000312500000014,63.0
254,->,256,0.27411,3,15.027258420000003,15.0
255,->,257,-0.28279,3,15.994036819999998,16.0
253,->,256,-0.13275,4,3.5245125,3.5
253,->,257,0.38480,4,29.614207999999998,29.6
254,->,257,0.52707,4,55.56055698000001,55.6
255,->,256,0.21047,4,8.85952418,8.9
255,->,258,0.69435,5,96.4243845,96.4
252,->,256,0.62839,6,78.97479842,79.0
252,->,257,-0.15034,6,4.52042312,4.5
253,->,257,0.12528,6,3.13901568,3.1
254,->,256,0.11565,6,2.6749845000000003,2.7
255,->,257,-0.12586,6,3.16814792,3.2
251,->,256,-0.21022,7,8.838489679999999,8.8
251,->,257,-0.12042,7,2.90019528,2.9
252,->,257,-0.12624,7,3.1873075199999996,3.2
253,->,256,0.13808,7,3.8132172800000004,3.8
253,->,257,0.40038,7,32.06082888,32.1
254,->,256,-0.19312,7,7.459066880000001,7.5
254,->,257,-0.16889,7,5.70476642,5.7
254,->,258,0.23978,7,11.49888968,11.5
255,->,256,-0.19226,7,7.392781519999998,7.4
255,->,257,0.23160,7,10.727712,10.7
251,->,257,0.10534,8,2.21930312,2.2
251,->,258,-0.11139,8,2.4815464200000004,2.5
252,->,256,0.14518,8,4.21544648,4.2
253,->,256,0.16902,8,5.71355208,5.7
253,->,257,-0.24858,8,12.35840328,12.4
254,->,257,0.16552,8,5.4793740799999995,5.5
254,->,258,0.49798,8,49.596816079999996,49.6
255,->,256,0.15601,8,4.8678240200000005,4.9
255,->,257,0.14865,8,4.4193645,4.4
251,->,256,0.12636,9,3.19336992,3.2
251,->,257,-0.10842,9,2.3509792800000002,2.4
251,->,258,-0.11093,9,2.46109298,2.5
252,->,256,-0.11528,9,2.6578956799999998,2.7
252,->,257,0.24908,9,12.40816928,12.4
253,->,256,-0.24066,9,11.58344712,11.6
253,->,257,0.13548,9,3.6709660799999995,3.7
254,->,256,0.21135,9,8.9337645,8.9
254,->,257,-0.10365,9,2.1486645,2.1
254,->,258,0.35384,9,25.04054912,25.0
255,->,256,-0.10210,9,2.084882,2.1
255,->,257,-0.29264,9,17.12763392,17.1
247,->,258,0.16949,10,5.7453720200000005,5.7
251,->,256,0.20828,10,8.67611168,8.7
251,->,257,-0.16044,10,5.14819872,5.1
252,->,256,0.16132,10,5.20482848,5.2
252,->,257,0.48774,10,47.578061520000006,47.6
253,->,256,0.19193,10,7.367424979999999,7.4
254,->,256,-0.12296,10,3.02383232,3.0
254,->,258,-0.13320,10,3.5484480000000005,3.5
255,->,257,0.16631,10,5.5318032200000005,5.5
247,->,256,0.14297,11,4.08808418,4.1
251,->,256,0.54724,11,59.89432351999999,59.9
251,->,257,0.24966,11,12.46602312,12.5
252,->,257,-0.20019,11,8.01520722,8.0
253,->,257,0.18500,11,6.845,6.8
247,->,256,0.53903,12,58.110668180000005,58.1
249,->,256,0.20401,12,8.32401602,8.3
249,->,258,-0.10450,12,2.18405,2.2
251,->,256,-0.13543,12,3.6682569799999993,3.7
252,->,258,-0.13709,12,3.7587336199999997,3.8
253,->,258,0.27210,12,14.807682,14.8
236,->,258,-0.10922,13,2.38580168,2.4
247,->,256,-0.31704,13,20.10287232,20.1
249,->,256,-0.11997,13,2.8785601799999996,2.9
249,->,258,-0.14454,13,4.17836232,4.2
251,->,258,-0.18766,13,7.0432551199999995,7.0
252,->,258,-0.17674,13,6.24740552,6.2
253,->,258,0.50750,13,51.51124999999999,51.5
247,->,258,-0.33833,14,22.893437780000003,22.9
249,->,256,-0.14706,14,4.32532872,4.3
249,->,258,-0.15538,14,4.82858888,4.8
251,->,256,-0.10632,14,2.26078848,2.3
251,->,257,0.40274,14,32.43990152,32.4
251,->,258,0.11108,14,2.4677532799999997,2.5
252,->,257,0.27094,14,14.681696720000001,14.7
252,->,258,-0.18393,14,6.76604898,6.8
235,->,258,-0.16335,15,5.3366445,5.3
247,->,258,-0.14095,15,3.9733804999999998,4.0
251,->,257,0.13965,15,3.9004245,3.9
251,->,258,-0.30351,15,18.42366402,18.4
252,->,257,0.12361,15,3.0558864199999998,3.1
252,->,258,0.50219,15,50.43895922,50.4
253,->,258,0.14064,15,3.9559219199999998,4.0
247,->,256,-0.16685,16,5.567784499999999,5.6
247,->,258,0.22315,16,9.9591845,10.0
249,->,256,0.35192,16,24.76953728,24.8
250,->,256,-0.33953,16,23.05612418,23.1
251,->,256,-0.15769,16,4.97322722,5.0
251,->,257,0.29781,16,17.738159220000004,17.7
252,->,256,-0.11692,16,2.7340572799999996,2.7
247,->,257,-0.27464,17,15.08542592,15.1
247,->,258,0.13597,17,3.6975681800000006,3.7
249,->,256,0.16624,17,5.52714752,5.5
249,->,257,-0.11729,17,2.7513888200000003,2.8
250,->,256,0.56329,17,63.45912481999999,63.5
251,->,257,0.14555,17,4.2369605,4.2
247,->,257,0.56328,18,63.456871680000006,63.5
247,->,258,0.11350,18,2.5764500000000004,2.6
249,->,256,0.16100,18,5.184200000000001,5.2
249,->,257,0.21589,18,9.32169842,9.3
250,->,256,0.23100,18,10.672200000000002,10.7
247,->,256,-0.17161,19,5.889998420000001,5.9
247,->,258,-0.38783,19,30.08242178,30.1
249,->,256,0.38691,19,29.93986962,29.9
249,->,258,-0.11896,19,2.83029632,2.8
251,->,257,-0.21282,19,9.05847048,9.1
255,->,259,-0.25994,19,13.51376072,13.5
247,->,258,-0.11232,20,2.5231564800000004,2.5
249,->,256,0.19547,20,7.6417041800000005,7.6
251,->,257,-0.10924,20,2.3866755200000003,2.4
255,->,259,0.61744,20,76.24643072,76.2
247,->,257,0.10032,21,2.0128204800000002,2.0
248,->,256,0.31009,21,19.231161619999998,19.2
250,->,257,0.61744,21,76.24643072,76.2
248,->,256,0.61802,22,76.38974408,76.4
250,->,257,-0.31375,22,19.687812499999996,19.7
245,->,256,0.13930,23,3.8808980000000006,3.9
249,->,257,0.15186,23,4.61229192,4.6
254,->,259,0.64147,23,82.29675218,82.3
245,->,256,0.60756,24,73.82583072,73.8
246,->,256,-0.24764,24,12.26511392,12.3
249,->,257,0.15387,24,4.73519538,4.7
254,->,259,-0.15477,24,4.790750579999999,4.8
245,->,256,0.30655,25,18.7945805,18.8
246,->,256,0.56966,25,64.90250312,64.9
249,->,257,-0.24698,25,12.19982408,12.2
246,->,256,0.32662,26,21.336124880000003,21.3
247,->,257,-0.20911,26,8.745398419999999,8.7
249,->,257,0.54111,26,58.56000642,58.6
254,->,259,-0.12567,26,3.1585897800000007,3.2
243,->,256,-0.30430,27,18.519698,18.5
244,->,256,0.61456,27,75.53679872,75.5
242,->,256,0.17011,28,5.787482420000001,5.8
