0,1,2,3,Excited_State,%,round_%
254,->,257,-0.14679,1,4.30946082,4.3
255,->,256,0.68860,1,94.833992,94.8
254,->,256,0.56240,2,63.25875200000001,63.3
255,->,257,0.42318,2,35.81626248,35.8
249,->,256,0.11130,3,2.477538,2.5
253,->,256,0.69484,3,96.56052512000001,96.6
252,->,256,0.58336,4,68.06177792,68.1
253,->,257,-0.12938,4,3.34783688,3.3
254,->,256,-0.23879,4,11.40413282,11.4
255,->,257,0.27988,4,15.66656288,15.7
255,->,258,0.70287,5,98.80524738,98.8
255,->,259,-0.36045,6,25.9848405,26.0
255,->,260,0.58058,6,67.41462727999999,67.4
255,->,261,0.70113,7,98.31665538,98.3
250,->,256,-0.11427,8,2.61152658,2.6
254,->,257,0.65806,8,86.60859272,86.6
255,->,256,0.13031,8,3.3961392200000002,3.4
251,->,256,-0.15947,9,5.08613618,5.1
253,->,257,-0.23369,9,10.922203220000002,10.9
254,->,256,0.13414,9,3.5987079200000007,3.6
255,->,257,-0.20613,9,8.497915380000002,8.5
255,->,259,0.43914,9,38.56878792,38.6
255,->,260,0.37432,9,28.02309248,28.0
251,->,256,0.22039,10,9.71435042,9.7
252,->,256,-0.13200,10,3.4848000000000003,3.5
253,->,257,0.31948,10,20.413494079999996,20.4
254,->,256,-0.19131,10,7.31990322,7.3
255,->,257,0.28742,10,16.52205128,16.5
255,->,259,0.41454,10,34.368682320000005,34.4
255,->,260,0.11599,10,2.6907360199999997,2.7
255,->,267,-0.10649,10,2.26802402,2.3
249,->,256,-0.11516,11,2.65236512,2.7
250,->,256,0.68665,11,94.2976445,94.3
252,->,256,-0.15024,12,4.514411520000001,4.5
253,->,257,-0.19677,12,7.74368658,7.7
254,->,256,-0.11462,12,2.62754888,2.6
255,->,257,0.14287,12,4.08236738,4.1
255,->,262,0.62653,12,78.50796818,78.5
255,->,263,0.70198,13,98.55518408000002,98.6
252,->,256,0.27247,14,14.847980179999997,14.8
253,->,257,0.47119,14,44.40400322,44.4
254,->,256,0.16887,14,5.703415379999999,5.7
255,->,257,-0.20021,14,8.01680882,8.0
255,->,262,0.31237,14,19.51500338,19.5
255,->,265,-0.13445,14,3.615360499999999,3.6
255,->,264,0.70214,15,98.60011592,98.6
249,->,256,-0.21038,16,8.85194888,8.9
251,->,257,-0.13905,16,3.8669805000000004,3.9
252,->,257,0.64037,16,82.01474738,82.0
251,->,256,-0.17693,17,6.260844980000001,6.3
253,->,257,0.18429,17,6.79256082,6.8
255,->,265,0.59435,17,70.6503845,70.7
255,->,267,-0.25473,17,12.97747458,13.0
255,->,266,0.69843,18,97.56089298,97.6
251,->,256,0.29013,19,16.83508338,16.8
255,->,265,0.30595,19,18.7210805,18.7
255,->,267,0.55440,19,61.471872000000005,61.5
248,->,256,-0.19437,20,7.555939379999998,7.6
251,->,256,0.51388,20,52.81453088,52.8
252,->,256,0.13419,20,3.6013912200000004,3.6
253,->,257,-0.10727,20,2.3013705800000004,2.3
254,->,256,0.13469,20,3.6282792200000005,3.6
255,->,257,-0.17407,20,6.06007298,6.1
255,->,267,-0.29921,20,17.905324819999997,17.9
254,->,258,0.67873,21,92.13488258000001,92.1
254,->,261,0.13432,21,3.6083724799999994,3.6
249,->,256,0.63752,22,81.28635007999999,81.3
250,->,256,0.10220,22,2.088968,2.1
251,->,257,-0.11839,22,2.8032384199999996,2.8
252,->,257,0.17296,22,5.98303232,6.0
253,->,256,-0.10036,22,2.01442592,2.0
253,->,261,-0.18976,23,7.201771520000001,7.2
254,->,259,-0.33438,23,22.36199688,22.4
254,->,260,0.57945,23,67.1524605,67.2
253,->,260,-0.18747,24,7.029000180000001,7.0
254,->,258,-0.15131,24,4.57894322,4.6
254,->,261,0.65599,24,86.06457601999999,86.1
254,->,259,0.59482,25,70.76216648,70.8
254,->,260,0.33544,25,22.503998720000002,22.5
254,->,262,0.13585,25,3.6910445,3.7
248,->,256,0.66074,26,87.31546952,87.3
251,->,256,0.15786,26,4.9839559200000005,5.0
253,->,263,0.14357,27,4.12246898,4.1
254,->,259,-0.15547,27,4.83418418,4.8
254,->,262,0.64903,27,84.24798818,84.2
253,->,262,0.16893,28,5.70746898,5.7
254,->,263,0.68066,28,92.65960712,92.7
245,->,256,0.17541,29,6.153733620000001,6.2
247,->,256,0.12639,29,3.1948864200000004,3.2
248,->,257,0.27297,29,14.902524179999999,14.9
248,->,265,0.12614,29,3.1822599200000004,3.2
251,->,257,-0.32717,29,21.408041780000005,21.4
252,->,257,-0.10530,29,2.2176180000000003,2.2
254,->,262,-0.15217,29,4.63114178,4.6
254,->,265,0.36915,29,27.2543445,27.3
254,->,267,0.14308,29,4.094377280000001,4.1
253,->,258,0.67052,30,89.91941408000001,89.9
253,->,261,0.14716,30,4.331213120000001,4.3
254,->,260,0.10702,30,2.29065608,2.3
249,->,257,-0.11771,31,2.7711288199999995,2.8
250,->,257,0.69301,31,96.05257202,96.1
252,->,261,0.11698,32,2.73686408,2.7
253,->,259,-0.34005,32,23.1268005,23.1
253,->,260,0.56579,32,64.02366482000001,64.0
254,->,261,0.20070,32,8.056097999999999,8.1
252,->,260,0.11274,33,2.5420615200000003,2.5
253,->,258,-0.16957,33,5.75079698,5.8
253,->,261,0.62932,33,79.20873248,79.2
254,->,260,0.15945,33,5.0848605000000004,5.1
254,->,265,0.12200,33,2.9768,3.0
251,->,257,0.36816,34,27.108357119999997,27.1
253,->,261,-0.14855,34,4.4134205,4.4
254,->,265,0.51738,34,53.53641287999999,53.5
255,->,268,-0.19664,34,7.73345792,7.7
254,->,264,0.68797,35,94.66054417999999,94.7
254,->,266,0.11175,35,2.4976125000000002,2.5
253,->,267,0.16418,36,5.39101448,5.4
254,->,264,-0.12067,36,2.9122497800000002,2.9
254,->,266,0.66759,36,89.13528162,89.1
248,->,257,-0.16199,37,5.24815202,5.2
253,->,266,-0.13844,37,3.8331267200000005,3.8
254,->,265,0.15694,37,4.926032719999999,4.9
254,->,267,-0.39587,37,31.34261138,31.3
255,->,268,0.50334,37,50.67023112,50.7
253,->,259,0.58118,38,67.55403848000002,67.6
253,->,260,0.33886,38,22.96521992,23.0
253,->,262,0.15422,38,4.756761679999999,4.8
245,->,256,-0.10289,39,2.11727042,2.1
247,->,256,-0.14236,39,4.05327392,4.1
251,->,257,0.17331,39,6.00727122,6.0
253,->,266,0.15141,39,4.584997619999999,4.6
254,->,267,0.47729,39,45.56114882,45.6
255,->,268,0.41852,39,35.03179808,35.0
253,->,259,-0.17417,40,6.06703778,6.1
253,->,262,0.64213,40,82.46618738,82.5
253,->,265,0.13117,40,3.4411137800000007,3.4
254,->,263,-0.13843,40,3.83257298,3.8
253,->,263,0.67445,41,90.9765605,91.0
254,->,262,-0.16153,41,5.218388180000001,5.2
245,->,256,0.21770,42,9.478658000000001,9.5
247,->,256,0.39005,42,30.427800500000004,30.4
248,->,257,-0.37289,42,27.809390420000003,27.8
254,->,267,0.20304,42,8.245048319999999,8.2
255,->,269,0.20483,42,8.391065780000002,8.4
247,->,256,-0.13512,43,3.6514828799999997,3.7
248,->,257,0.14837,43,4.4027313800000005,4.4
255,->,269,0.59099,43,69.85383602,69.9
255,->,277,0.24854,43,12.35442632,12.4
246,->,256,-0.20719,44,8.585539220000001,8.6
249,->,257,-0.12078,44,2.91756168,2.9
252,->,258,0.47367,44,44.87265377999999,44.9
252,->,261,0.18405,44,6.774880499999999,6.8
253,->,265,0.38627,44,29.84090258,29.8
246,->,256,0.23625,45,11.1628125,11.2
249,->,257,0.12829,45,3.2916648199999994,3.3
252,->,258,0.42632,45,36.349748479999995,36.3
252,->,261,0.19835,45,7.8685445,7.9
253,->,262,0.12143,45,2.9490489799999997,2.9
253,->,265,-0.40565,45,32.9103845,32.9
245,->,256,-0.35937,46,25.829359380000007,25.8
247,->,256,0.50827,46,51.66767858,51.7
248,->,257,0.20126,46,8.101117519999999,8.1
251,->,257,0.17073,46,5.829746579999999,5.8
252,->,260,0.11155,46,2.4886804999999996,2.5
252,->,259,-0.32319,47,20.890355219999996,20.9
252,->,260,0.59222,47,70.14490568,70.1
253,->,261,-0.11747,47,2.7598401800000003,2.8
246,->,256,0.62286,48,77.59091591999999,77.6
253,->,265,0.29559,48,17.474689620000003,17.5
252,->,258,-0.27767,49,15.420125779999996,15.4
252,->,261,0.63229,49,79.95812882000001,80.0
245,->,256,0.15610,50,4.873441999999999,4.9
253,->,264,0.66548,50,88.57272607999998,88.6
249,->,257,0.64657,51,83.61055298,83.6
250,->,257,0.10368,51,2.1499084799999997,2.1
253,->,265,0.20722,51,8.588025679999998,8.6
252,->,259,0.55772,52,62.210319680000005,62.2
252,->,260,0.31380,52,19.694088000000004,19.7
252,->,262,0.19639,52,7.713806420000001,7.7
253,->,266,0.17310,52,5.9927220000000005,6.0
252,->,259,-0.15979,53,5.10656882,5.1
253,->,266,0.62988,53,79.34976288,79.3
254,->,267,-0.19147,53,7.33215218,7.3
252,->,266,-0.12094,54,2.9252967200000004,2.9
253,->,267,0.66067,54,87.29696978,87.3
254,->,266,-0.17241,54,5.9450416200000005,5.9
243,->,256,-0.16825,55,5.661612500000001,5.7
245,->,256,0.42558,55,36.22366728000001,36.2
248,->,257,0.24226,55,11.73798152,11.7
251,->,257,0.31624,55,20.001547520000003,20.0
252,->,257,0.11373,55,2.5869025800000003,2.6
253,->,264,-0.19446,55,7.56293832,7.6
254,->,265,-0.11729,55,2.7513888200000003,2.8
252,->,259,-0.20431,56,8.34851522,8.3
