0,1,2,3,Excited_State,%,round_%
254,->,256,-0.36772,1,27.043599679999996,27.0
254,->,257,-0.28263,1,15.975943379999999,16.0
255,->,256,0.48108,1,46.28759328,46.3
255,->,257,-0.19264,1,7.42203392,7.4
253,->,257,-0.15083,2,4.54993778,4.5
254,->,256,0.44970,2,40.446018,40.4
254,->,257,-0.21627,2,9.35454258,9.4
255,->,256,0.32619,2,21.27998322,21.3
255,->,257,0.33763,2,22.79880338,22.8
251,->,256,0.10627,3,2.25866258,2.3
253,->,256,0.55688,3,62.02306688000001,62.0
253,->,257,0.14340,3,4.112712,4.1
254,->,256,-0.17588,3,6.1867548800000005,6.2
255,->,257,0.32387,3,20.97835538,21.0
252,->,256,-0.34051,4,23.189412019999995,23.2
253,->,256,0.14572,4,4.24686368,4.2
253,->,257,-0.36911,4,27.24843842,27.2
254,->,257,0.40383,4,32.61573378000001,32.6
255,->,256,0.15539,4,4.82921042,4.8
255,->,257,-0.14211,4,4.039050419999999,4.0
252,->,256,0.51878,5,53.82653768000001,53.8
252,->,257,-0.31455,5,19.788340499999997,19.8
254,->,257,0.29574,5,17.492429519999998,17.5
255,->,256,0.13866,5,3.84531912,3.8
251,->,256,-0.20954,6,8.781402320000002,8.8
251,->,257,0.15776,6,4.977643520000001,5.0
252,->,256,0.21099,6,8.903356020000002,8.9
252,->,257,0.56996,6,64.97088032,65.0
253,->,257,-0.10155,6,2.0624805,2.1
254,->,257,0.14743,6,4.34712098,4.3
251,->,256,0.38922,7,30.29844168,30.3
251,->,257,0.31221,7,19.49501682,19.5
253,->,257,0.30362,7,18.43702088,18.4
254,->,256,0.19429,7,7.54972082,7.5
254,->,257,0.18288,7,6.689018879999999,6.7
255,->,256,0.16126,7,5.200957519999999,5.2
255,->,257,-0.18286,7,6.687555919999999,6.7
249,->,256,0.45126,8,40.72711752,40.7
250,->,256,0.52523,8,55.17331057999999,55.2
251,->,256,-0.33123,9,21.942662580000004,21.9
252,->,256,-0.20332,9,8.26780448,8.3
252,->,257,-0.14333,9,4.108697780000001,4.1
253,->,256,-0.21650,9,9.37445,9.4
253,->,257,0.34078,9,23.226201680000003,23.2
254,->,256,-0.10168,9,2.06776448,2.1
254,->,257,0.19749,9,7.800460019999999,7.8
255,->,256,0.20510,9,8.413202,8.4
255,->,257,0.23104,9,10.67589632,10.7
251,->,256,0.38149,10,29.106924019999997,29.1
253,->,256,-0.31209,10,19.480033619999997,19.5
253,->,257,-0.20680,10,8.553248,8.6
254,->,256,-0.23268,10,10.82799648,10.8
255,->,257,0.33790,10,22.835282,22.8
249,->,257,0.44945,11,40.4010605,40.4
250,->,257,0.52695,11,55.53526050000001,55.5
248,->,256,-0.12620,12,3.185288,3.2
251,->,256,-0.14305,12,4.092660500000001,4.1
251,->,257,0.58417,12,68.25091778,68.3
252,->,257,-0.17944,12,6.43974272,6.4
253,->,257,-0.17229,12,5.93676882,5.9
255,->,256,-0.14548,12,4.23288608,4.2
248,->,256,0.49210,13,48.432482,48.4
249,->,256,-0.31621,13,19.99775282,20.0
250,->,256,0.35311,13,24.937334419999996,24.9
248,->,256,0.44798,14,40.13721608,40.1
249,->,256,0.43496,14,37.838040320000005,37.8
250,->,256,-0.29703,14,17.645364180000005,17.6
255,->,258,0.67434,15,90.94688712000001,90.9
248,->,257,-0.14828,16,4.39739168,4.4
249,->,257,0.50185,16,50.37068450000001,50.4
250,->,257,-0.45068,16,40.622492480000005,40.6
247,->,256,0.60243,17,72.58438098,72.6
248,->,257,-0.14393,17,4.1431689800000004,4.1
249,->,257,-0.10798,17,2.3319360800000006,2.3
254,->,258,-0.28832,17,16.625684480000004,16.6
247,->,256,0.33822,18,22.878553680000003,22.9
248,->,257,0.13291,18,3.53301362,3.5
254,->,258,0.57493,18,66.10890098,66.1
248,->,257,0.63349,19,80.26191602,80.3
249,->,257,0.14709,19,4.327093619999999,4.3
254,->,258,-0.19529,19,7.62763682,7.6
245,->,256,0.67802,20,91.94222407999999,91.9
246,->,256,0.15888,20,5.04857088,5.0
245,->,256,-0.15748,21,4.959990080000001,5.0
246,->,256,0.68657,21,94.27567298,94.3
243,->,256,0.25590,22,13.096962000000001,13.1
244,->,256,0.63842,22,81.51601928,81.5
241,->,256,-0.10590,23,2.242962,2.2
242,->,256,-0.10146,23,2.0588263199999997,2.1
243,->,256,0.27835,23,15.495744499999997,15.5
246,->,257,0.42172,23,35.569551680000004,35.6
253,->,258,0.42238,23,35.68097287999999,35.7
243,->,256,-0.14979,24,4.487408820000001,4.5
246,->,257,0.53542,24,57.33491528,57.3
247,->,257,-0.10651,24,2.26887602,2.3
253,->,258,-0.36574,24,26.75314952,26.8
246,->,257,0.13917,25,3.873657779999999,3.9
247,->,257,0.67626,25,91.46551751999999,91.5
255,->,259,-0.10386,25,2.15737992,2.2
241,->,256,0.12879,26,3.3173728199999997,3.3
242,->,256,0.47836,26,45.76565792,45.8
247,->,257,-0.11401,26,2.5996560200000003,2.6
253,->,258,0.16545,26,5.4747405,5.5
255,->,259,-0.38497,26,29.640380179999998,29.6
255,->,266,0.10069,26,2.02769522,2.0
242,->,256,0.40973,27,33.57573458,33.6
243,->,256,0.37277,27,27.79149458,27.8
244,->,256,-0.13344,27,3.5612467200000006,3.6
255,->,259,0.34803,27,24.224976180000002,24.2
255,->,260,0.11463,27,2.6280073799999997,2.6
242,->,256,-0.13999,28,3.91944002,3.9
243,->,256,0.40798,28,33.289536080000005,33.3
244,->,256,-0.21411,28,9.16861842,9.2
252,->,258,0.10274,28,2.11110152,2.1
253,->,258,-0.25298,28,12.799776079999997,12.8
255,->,259,-0.32070,28,20.569698,20.6
255,->,260,-0.13289,28,3.5319504200000003,3.5
255,->,266,0.11383,28,2.59145378,2.6
240,->,256,-0.33533,29,22.48924178,22.5
241,->,256,0.49661,29,49.32429842,49.3
242,->,256,-0.12617,29,3.18377378,3.2
253,->,258,0.17857,29,6.3774489800000005,6.4
254,->,259,-0.12113,29,2.93449538,2.9
255,->,259,0.14222,29,4.04530568,4.0
255,->,260,0.12578,29,3.1641216800000005,3.2
255,->,261,0.10096,29,2.0385843199999996,2.0
241,->,256,-0.10708,30,2.2932252799999997,2.3
242,->,256,-0.13401,30,3.59173602,3.6
245,->,257,-0.16336,30,5.33729792,5.3
252,->,258,0.12881,30,3.3184032200000004,3.3
254,->,260,0.11560,30,2.672672,2.7
