0,1,2,3,Excited_State,%,round_%
233,->,236,-0.11283,1,2.54612178,2.5
234,->,235,0.69319,1,96.10247521999999,96.1
233,->,235,0.57083,2,65.16937777999999,65.2
234,->,236,0.40551,2,32.88767202,32.9
231,->,235,0.13183,3,3.4758297800000006,3.5
232,->,235,0.55288,3,61.13525888000001,61.1
233,->,235,0.21143,3,8.940528980000002,8.9
234,->,236,-0.34486,3,23.78568392,23.8
231,->,235,0.66452,4,88.31736608,88.3
233,->,235,-0.10713,4,2.29536738,2.3
233,->,236,-0.13307,4,3.54152498,3.5
234,->,237,0.69986,5,97.96080392,98.0
234,->,238,-0.44491,6,39.588981620000006,39.6
234,->,239,0.53464,6,57.16798592,57.2
234,->,238,-0.19323,7,7.4675665800000015,7.5
234,->,239,-0.18657,7,6.961672980000001,7.0
234,->,241,0.64411,7,82.97553841999999,83.0
234,->,238,0.49839,8,49.67851842,49.7
234,->,239,0.41324,8,34.15345952,34.2
234,->,241,0.26384,8,13.922309120000001,13.9
234,->,238,-0.10311,9,2.1263344199999996,2.1
234,->,240,0.69065,9,95.3994845,95.4
230,->,235,0.12133,10,2.94419378,2.9
231,->,235,0.12485,10,3.1175045000000003,3.1
232,->,236,0.20505,10,8.409100500000001,8.4
233,->,236,0.60757,10,73.82826098000001,73.8
234,->,236,0.10080,10,2.032128,2.0
234,->,242,0.69483,11,96.55774577999998,96.6
229,->,235,0.49670,12,49.342178,49.3
230,->,235,0.21273,12,9.05081058,9.1
232,->,235,0.21219,12,9.00491922,9.0
233,->,235,-0.18760,12,7.038752,7.0
233,->,236,-0.10754,12,2.31297032,2.3
234,->,236,0.25112,12,12.612250880000001,12.6
234,->,244,-0.13197,12,3.4832161800000003,3.5
228,->,235,0.10598,13,2.2463520800000003,2.2
229,->,235,0.49234,13,48.47973512,48.5
230,->,235,-0.24877,13,12.377302579999998,12.4
232,->,235,-0.19770,13,7.817057999999999,7.8
233,->,235,0.17294,13,5.981648720000001,6.0
233,->,236,0.13792,13,3.804385279999999,3.8
234,->,236,-0.22891,13,10.47995762,10.5
234,->,244,0.12248,13,3.0002700800000004,3.0
234,->,243,0.70065,14,98.1820845,98.2
230,->,235,0.25414,15,12.917427919999996,12.9
234,->,244,0.64749,15,83.84866002,83.8
230,->,235,0.32362,16,20.945980880000004,20.9
232,->,235,-0.13043,16,3.40239698,3.4
232,->,236,0.13254,16,3.51337032,3.5
