0,1,2,3,Excited_State,%,round_%
233,->,236,-0.37224,1,27.712523520000005,27.7
234,->,235,0.59535,1,70.88832450000001,70.9
233,->,235,0.50632,2,51.27198848,51.3
234,->,236,0.48882,2,47.78899848,47.8
231,->,236,0.14299,3,4.08922802,4.1
232,->,235,0.68016,3,92.52352511999999,92.5
231,->,235,0.58789,4,69.12293042,69.1
231,->,236,0.12585,4,3.1676444999999998,3.2
232,->,236,0.34665,4,24.033244500000002,24.0
231,->,235,-0.10127,5,2.05112258,2.1
231,->,236,0.67134,5,90.13947912,90.1
232,->,235,-0.12881,5,3.3184032200000004,3.3
230,->,235,0.70011,6,98.03080242,98.0
231,->,235,-0.36169,7,26.163931220000002,26.2
232,->,236,0.58334,7,68.05711111999999,68.1
233,->,236,-0.12611,7,3.18074642,3.2
229,->,235,-0.12683,8,3.2171697799999994,3.2
229,->,236,0.10143,8,2.0576089800000004,2.1
232,->,236,0.13137,8,3.451615379999999,3.5
233,->,235,-0.24925,8,12.425112500000001,12.4
233,->,236,0.46786,8,43.77859592,43.8
234,->,235,0.28807,8,16.59686498,16.6
234,->,236,0.26749,8,14.310180020000002,14.3
233,->,235,-0.40293,9,32.47051698,32.5
233,->,236,-0.30336,9,18.40545792,18.4
234,->,235,-0.19441,9,7.55904962,7.6
234,->,236,0.40958,9,33.55115528,33.6
230,->,236,0.70020,10,98.05600800000002,98.1
229,->,235,0.67683,11,91.61976978000001,91.6
229,->,236,0.37326,12,27.864605519999998,27.9
234,->,237,0.57922,12,67.09916167999998,67.1
229,->,236,0.57162,13,65.34988488,65.3
234,->,237,-0.36642,13,26.852723280000003,26.9
224,->,235,-0.16640,14,5.537792,5.5
225,->,235,-0.14344,14,4.115006720000001,4.1
226,->,235,-0.30613,14,18.743115380000003,18.7
228,->,235,0.31737,14,20.144743379999998,20.1
232,->,237,-0.10262,14,2.1061728800000004,2.1
233,->,237,0.45178,14,40.82103368,40.8
223,->,235,-0.10298,15,2.12097608,2.1
225,->,235,0.17631,15,6.217043219999999,6.2
226,->,235,0.21279,15,9.055916820000002,9.1
228,->,235,-0.32438,15,21.04447688,21.0
233,->,237,0.49197,15,48.406896180000004,48.4
234,->,238,-0.11585,15,2.6842444999999997,2.7
225,->,235,0.12385,16,3.0677645,3.1
226,->,235,0.28203,16,15.908184180000001,15.9
227,->,235,0.50004,16,50.008000320000015,50.0
228,->,235,0.34050,16,23.188050000000004,23.2
234,->,238,-0.14468,16,4.18646048,4.2
227,->,235,0.13077,17,3.42015858,3.4
234,->,238,0.65578,17,86.00948168000001,86.0
225,->,235,-0.27167,18,14.760917780000002,14.8
226,->,235,0.15421,18,4.756144820000001,4.8
228,->,235,-0.10968,18,2.40594048,2.4
234,->,239,0.59994,18,71.98560072000001,72.0
224,->,235,0.10383,19,2.15613378,2.2
225,->,235,0.49207,19,48.42657698,48.4
226,->,235,-0.34593,19,23.933512980000003,23.9
234,->,239,0.31863,19,20.30501538,20.3
225,->,235,-0.13049,20,3.4055280199999998,3.4
226,->,235,-0.26948,20,14.52389408,14.5
227,->,235,0.45927,20,42.18578658,42.2
228,->,235,-0.38671,20,29.90892482,29.9
234,->,239,-0.12501,20,3.125500020000001,3.1
234,->,240,-0.14813,20,4.388499380000001,4.4
226,->,236,-0.10729,21,2.30222882,2.3
231,->,237,-0.15137,21,4.58257538,4.6
232,->,237,0.13706,21,3.757088719999999,3.8
234,->,240,0.61186,21,74.87453191999998,74.9
223,->,235,-0.15453,22,4.7759041799999995,4.8
224,->,235,-0.14492,22,4.20036128,4.2
224,->,236,0.13438,22,3.61159688,3.6
225,->,235,-0.14254,22,4.06353032,4.1
225,->,236,0.14724,22,4.335923520000001,4.3
226,->,235,-0.12173,22,2.96363858,3.0
226,->,236,0.26489,22,14.033342420000002,14.0
228,->,236,-0.24813,22,12.31369938,12.3
231,->,237,0.35370,22,25.020738000000005,25.0
232,->,237,0.25827,22,13.34067858,13.3
234,->,240,0.14557,22,4.23812498,4.2
223,->,235,0.18863,23,7.11625538,7.1
224,->,235,0.57782,23,66.77519048,66.8
225,->,235,-0.21530,23,9.270817999999998,9.3
226,->,235,-0.12009,23,2.88432162,2.9
228,->,236,-0.10649,23,2.26802402,2.3
224,->,235,0.11203,24,2.51014418,2.5
231,->,237,-0.13218,24,3.4943104799999993,3.5
232,->,237,0.58836,24,69.23349791999999,69.2
234,->,240,-0.20055,24,8.0440605,8.0
234,->,241,0.11789,24,2.7796104199999996,2.8
222,->,235,0.55127,25,60.779722580000005,60.8
223,->,235,-0.36758,25,27.023011280000002,27.0
224,->,235,0.12237,25,2.9948833800000005,3.0
228,->,236,0.10797,25,2.33150418,2.3
221,->,235,-0.12370,26,3.0603380000000002,3.1
222,->,235,0.40398,26,32.63996808,32.6
223,->,235,0.44501,26,39.60678002,39.6
224,->,235,-0.19810,26,7.8487219999999995,7.8
228,->,236,-0.12223,26,2.9880345800000003,3.0
234,->,241,0.10950,26,2.39805,2.4
223,->,235,0.10074,27,2.0297095199999995,2.0
226,->,236,-0.13021,27,3.39092882,3.4
227,->,236,-0.18160,27,6.595712000000001,6.6
228,->,236,0.41060,27,33.718472000000006,33.7
231,->,237,0.48730,27,47.49225800000001,47.5
224,->,236,-0.12703,28,3.2273241800000005,3.2
225,->,236,-0.18505,28,6.848700499999999,6.8
226,->,236,-0.36793,28,27.074496979999996,27.1
227,->,236,0.45190,28,40.842722,40.8
228,->,236,-0.20542,28,8.439475279999998,8.4
231,->,237,0.20319,28,8.25723522,8.3
221,->,235,0.50034,29,50.06802312000001,50.1
233,->,238,-0.31409,29,19.730505619999995,19.7
234,->,241,0.27289,29,14.893790420000002,14.9
234,->,242,-0.11261,29,2.53620242,2.5
234,->,248,0.13158,29,3.46265928,3.5
223,->,236,-0.14106,30,3.9795847199999996,4.0
233,->,238,0.45542,30,41.48147528,41.5
233,->,239,-0.10517,30,2.21214578,2.2
234,->,241,0.37263,30,27.770623380000004,27.8
234,->,242,-0.16466,30,5.42258312,5.4
234,->,248,0.18791,30,7.062033619999999,7.1
221,->,235,0.42861,31,36.74130642,36.7
223,->,235,0.17883,31,6.396033779999999,6.4
233,->,238,0.38541,31,29.708173619999993,29.7
234,->,241,-0.21764,31,9.47343392,9.5
234,->,248,-0.13651,31,3.726996019999999,3.7
233,->,239,0.67507,32,91.14390097999998,91.1
225,->,236,0.10193,33,2.0779449800000003,2.1
226,->,236,0.27087,33,14.67411138,14.7
227,->,236,0.48223,33,46.50915458,46.5
228,->,236,0.37399,33,27.97370402,28.0
218,->,235,0.27595,34,15.229680499999997,15.2
220,->,235,-0.22973,34,10.55517458,10.6
223,->,236,-0.13340,34,3.559112,3.6
224,->,236,-0.17505,34,6.128500500000001,6.1
225,->,236,0.31505,34,19.8513005,19.9
231,->,248,0.10740,34,2.306952,2.3
232,->,248,0.27476,34,15.098611519999999,15.1
233,->,240,-0.13306,34,3.54099272,3.5
234,->,241,0.14018,34,3.93008648,3.9
234,->,242,0.11363,34,2.58235538,2.6
234,->,248,-0.19874,34,7.899517520000001,7.9
220,->,235,-0.15671,35,4.911604819999999,4.9
225,->,236,0.41154,35,33.87303432,33.9
226,->,236,-0.15642,35,4.8934432800000005,4.9
232,->,248,-0.10586,35,2.24126792,2.2
233,->,240,0.23194,35,10.75923272,10.8
234,->,241,-0.23948,35,11.47013408,11.5
234,->,242,-0.33690,35,22.700321999999996,22.7
218,->,235,0.13178,36,3.47319368,3.5
220,->,235,0.40800,36,33.29279999999999,33.3
224,->,236,0.27627,36,15.265022580000002,15.3
225,->,236,0.17187,36,5.90785938,5.9
