0,1,2,3,Excited_State,%,round_%
254,->,257,0.14504,1,4.20732032,4.2
255,->,256,0.68854,1,94.81746632000001,94.8
252,->,256,0.45891,5,42.11967762,42.1
254,->,256,-0.30127,5,18.152722579999995,18.2
255,->,257,-0.38964,5,30.36386592,30.4
255,->,258,-0.16973,5,5.761654579999999,5.8
254,->,257,0.66388,10,88.14733088000001,88.1
255,->,256,-0.13769,10,3.7917072200000006,3.8
251,->,256,0.17860,13,6.379592000000001,6.4
252,->,256,0.39418,13,31.075574479999997,31.1
253,->,257,0.24804,13,12.30476832,12.3
254,->,256,0.23470,13,11.016817999999999,11.0
255,->,257,0.33845,13,22.909680499999997,22.9
255,->,268,-0.18828,13,7.08987168,7.1
252,->,256,-0.12033,15,2.89586178,2.9
253,->,257,0.41928,15,35.15914368,35.2
254,->,256,-0.10199,15,2.08039202,2.1
255,->,265,-0.33495,15,22.438300500000004,22.4
255,->,266,-0.38424,15,29.52807552,29.5
255,->,268,0.11247,15,2.5299001800000003,2.5
251,->,256,-0.10958,17,2.4015552799999997,2.4
252,->,256,-0.10057,17,2.02286498,2.0
253,->,257,0.25326,17,12.828125519999997,12.8
254,->,264,0.49471,17,48.947596819999994,48.9
255,->,265,0.14574,17,4.24802952,4.2
255,->,266,0.14150,17,4.004449999999999,4.0
255,->,268,-0.30104,17,18.125016319999997,18.1
252,->,256,0.15485,19,4.795704499999999,4.8
253,->,257,-0.30894,19,19.08878472,19.1
254,->,264,0.44291,19,39.233853620000005,39.2
255,->,257,0.10673,19,2.27825858,2.3
255,->,265,-0.19255,19,7.4151005,7.4
255,->,266,-0.18758,19,7.0372512799999996,7.0
255,->,268,0.22866,19,10.45707912,10.5
250,->,256,-0.13837,22,3.8292513799999996,3.8
251,->,256,0.60928,22,74.24442368000001,74.2
252,->,256,-0.10445,22,2.1819604999999997,2.2
253,->,264,0.16388,22,5.3713308799999995,5.4
250,->,257,-0.18846,37,7.103434319999999,7.1
251,->,257,0.33534,37,22.490583120000004,22.5
254,->,265,-0.25179,37,12.679640820000001,12.7
254,->,266,-0.32653,37,21.324368179999997,21.3
254,->,268,0.27966,37,15.64194312,15.6
255,->,269,-0.18253,37,6.663440179999999,6.7
245,->,256,0.12822,42,3.2880736799999997,3.3
247,->,256,0.58789,42,69.12293042,69.1
250,->,257,-0.26910,42,14.482962000000002,14.5
254,->,268,-0.11837,42,2.80229138,2.8
244,->,256,0.21787,50,9.49346738,9.5
248,->,257,-0.19164,50,7.345177919999999,7.3
249,->,257,-0.13770,50,3.792258,3.8
253,->,262,-0.11656,50,2.71724672,2.7
253,->,265,0.43523,50,37.88503058,37.9
253,->,266,0.38821,50,30.141400819999998,30.1
245,->,256,0.30500,51,18.605,18.6
250,->,257,0.36824,51,27.120139520000002,27.1
251,->,257,0.30540,51,18.653832,18.7
252,->,257,-0.14221,51,4.04473682,4.0
252,->,258,-0.20022,51,8.017609680000001,8.0
252,->,260,-0.15735,51,4.9518045,5.0
245,->,257,-0.15118,64,4.571078480000001,4.6
247,->,257,-0.16000,64,5.12,5.1
254,->,269,0.36915,64,27.2543445,27.3
255,->,270,0.29012,64,16.83392288,16.8
255,->,271,-0.34695,64,24.074860499999996,24.1
255,->,272,-0.16787,64,5.63606738,5.6
255,->,273,-0.15664,64,4.90721792,4.9
244,->,256,-0.11478,66,2.6348896799999997,2.6
254,->,269,0.50088,66,50.17615488,50.2
255,->,270,-0.40252,66,32.404470079999996,32.4
255,->,271,0.13369,66,3.57460322,3.6
255,->,273,0.10173,66,2.06979858,2.1
