0,1,2,3,Excited_State,%,round_%
233,->,236,-0.36044,1,25.983398719999997,26.0
234,->,235,0.60419,1,73.00911122,73.0
230,->,235,-0.11884,3,2.82458912,2.8
231,->,235,-0.14094,3,3.9728167200000004,4.0
232,->,235,0.65530,3,85.883618,85.9
231,->,235,0.58868,4,69.30882847999999,69.3
231,->,236,0.16892,4,5.706793279999999,5.7
232,->,236,-0.28683,4,16.454289779999996,16.5
233,->,236,0.11686,4,2.7312519200000005,2.7
233,->,235,0.12251,5,3.0017400199999997,3.0
234,->,236,-0.11233,5,2.52360578,2.5
234,->,237,0.67408,5,90.87676928,90.9
230,->,235,0.12048,6,2.9030860800000005,2.9
231,->,235,-0.13186,6,3.47741192,3.5
231,->,236,-0.14219,6,4.043599220000001,4.0
232,->,235,-0.13223,6,3.4969545799999993,3.5
233,->,235,-0.16805,6,5.6481605,5.6
233,->,236,0.50424,6,50.851595520000004,50.9
234,->,235,0.28944,6,16.755102719999996,16.8
234,->,236,0.17689,6,6.258014419999999,6.3
229,->,237,-0.12729,7,3.240548819999999,3.2
231,->,236,0.45185,7,40.8336845,40.8
232,->,236,0.27148,7,14.74027808,14.7
233,->,235,-0.28616,7,16.377509120000003,16.4
234,->,236,0.28671,7,16.44052482,16.4
234,->,237,0.10093,7,2.0373729800000002,2.0
229,->,237,-0.10393,8,2.16028898,2.2
231,->,236,0.37915,8,28.750944499999996,28.8
233,->,235,0.32106,8,20.615904720000003,20.6
233,->,236,0.25124,8,12.624307520000002,12.6
234,->,235,0.16173,8,5.231318580000001,5.2
234,->,236,-0.31225,8,19.500012500000004,19.5
231,->,235,0.30872,10,19.06160768,19.1
231,->,236,-0.24737,10,12.23838338,12.2
232,->,236,0.54479,10,59.35922882,59.4
229,->,237,-0.14048,17,3.9469260799999994,3.9
234,->,237,0.11066,17,2.44912712,2.4
234,->,238,0.65869,17,86.77450322,86.8
229,->,236,-0.17286,18,5.976115920000001,6.0
229,->,237,-0.13861,18,3.842546420000001,3.8
230,->,236,0.63642,18,81.00608328,81.0
224,->,235,0.10518,19,2.2125664799999996,2.2
226,->,235,0.28102,19,15.794448079999999,15.8
227,->,235,0.10012,19,2.0048028799999997,2.0
228,->,235,0.59277,19,70.27525458,70.3
220,->,235,0.11047,27,2.44072418,2.4
226,->,235,-0.10561,27,2.23069442,2.2
226,->,236,0.29414,27,17.303667920000002,17.3
228,->,236,0.57118,27,65.24931848000001,65.2
221,->,235,-0.12481,28,3.11550722,3.1
223,->,235,0.39717,28,31.54880178,31.5
224,->,235,0.51701,28,53.45986801999999,53.5
233,->,238,-0.11646,28,2.7125863199999998,2.7
220,->,235,0.44315,36,39.2763845,39.3
227,->,236,-0.12808,36,3.2808972800000005,3.3
233,->,240,0.10152,36,2.0612620799999997,2.1
233,->,241,-0.10233,36,2.0942857800000003,2.1
234,->,242,-0.21825,36,9.526612499999999,9.5
234,->,243,-0.39832,36,31.731764480000002,31.7
219,->,235,0.46122,48,42.54477768,42.5
221,->,236,0.12411,48,3.0806584200000002,3.1
222,->,236,-0.42691,48,36.45042962,36.5
223,->,236,0.15424,48,4.75799552,4.8
219,->,235,-0.12202,49,2.97777608,3.0
221,->,236,0.13691,49,3.7488696200000007,3.7
223,->,236,0.18497,49,6.842780179999999,6.8
232,->,237,0.10664,49,2.27441792,2.3
232,->,238,0.59560,49,70.947872,70.9
216,->,237,-0.20119,51,8.09548322,8.1
220,->,236,0.25264,51,12.765393919999998,12.8
221,->,236,0.51832,51,53.731124480000005,53.7
222,->,236,0.10265,51,2.1074045000000003,2.1
223,->,236,-0.12133,51,2.94419378,2.9
230,->,237,0.18519,51,6.859067219999999,6.9
231,->,238,-0.14323,51,4.1029665799999995,4.1
216,->,237,0.28132,53,15.828188480000001,15.8
219,->,235,-0.22647,53,10.257732180000001,10.3
220,->,236,0.10451,53,2.18446802,2.2
221,->,236,0.23776,53,11.305963519999999,11.3
230,->,237,-0.11673,53,2.72517858,2.7
231,->,238,0.47442,53,45.014867280000004,45.0
216,->,235,-0.19616,67,7.69574912,7.7
217,->,235,-0.18863,67,7.11625538,7.1
228,->,237,-0.12199,67,2.97631202,3.0
229,->,238,0.22973,67,10.55517458,10.6
230,->,238,-0.12688,67,3.21970688,3.2
232,->,240,0.48582,67,47.20421448,47.2
232,->,242,-0.13701,67,3.7543480199999992,3.8
232,->,243,0.14472,67,4.188775679999999,4.2
218,->,235,-0.10235,74,2.0951044999999997,2.1
218,->,236,0.11835,74,2.8013445,2.8
231,->,240,-0.22427,74,10.05940658,10.1
231,->,241,0.37723,74,28.460494580000002,28.5
232,->,240,-0.17236,74,5.941593920000001,5.9
232,->,242,-0.31771,74,20.187928819999996,20.2
232,->,243,0.29023,74,16.846690579999997,16.8
