0,1,2,3,Excited_State,%,round_%
254,->,257,-0.14679,1,4.30946082,4.3
255,->,256,0.68860,1,94.833992,94.8
254,->,256,0.56240,2,63.25875200000001,63.3
255,->,257,0.42318,2,35.81626248,35.8
252,->,256,0.58336,4,68.06177792,68.1
253,->,257,-0.12938,4,3.34783688,3.3
254,->,256,-0.23879,4,11.40413282,11.4
255,->,257,0.27988,4,15.66656288,15.7
250,->,256,-0.11427,8,2.61152658,2.6
254,->,257,0.65806,8,86.60859272,86.6
255,->,256,0.13031,8,3.3961392200000002,3.4
251,->,256,-0.15947,9,5.08613618,5.1
253,->,257,-0.23369,9,10.922203220000002,10.9
254,->,256,0.13414,9,3.5987079200000007,3.6
255,->,257,-0.20613,9,8.497915380000002,8.5
255,->,259,0.43914,9,38.56878792,38.6
255,->,260,0.37432,9,28.02309248,28.0
251,->,256,0.22039,10,9.71435042,9.7
252,->,256,-0.13200,10,3.4848000000000003,3.5
253,->,257,0.31948,10,20.413494079999996,20.4
254,->,256,-0.19131,10,7.31990322,7.3
255,->,257,0.28742,10,16.52205128,16.5
255,->,259,0.41454,10,34.368682320000005,34.4
255,->,260,0.11599,10,2.6907360199999997,2.7
255,->,267,-0.10649,10,2.26802402,2.3
252,->,256,-0.15024,12,4.514411520000001,4.5
253,->,257,-0.19677,12,7.74368658,7.7
254,->,256,-0.11462,12,2.62754888,2.6
255,->,257,0.14287,12,4.08236738,4.1
255,->,262,0.62653,12,78.50796818,78.5
252,->,256,0.27247,14,14.847980179999997,14.8
253,->,257,0.47119,14,44.40400322,44.4
254,->,256,0.16887,14,5.703415379999999,5.7
255,->,257,-0.20021,14,8.01680882,8.0
255,->,262,0.31237,14,19.51500338,19.5
255,->,265,-0.13445,14,3.615360499999999,3.6
248,->,256,-0.19437,20,7.555939379999998,7.6
251,->,256,0.51388,20,52.81453088,52.8
252,->,256,0.13419,20,3.6013912200000004,3.6
253,->,257,-0.10727,20,2.3013705800000004,2.3
254,->,256,0.13469,20,3.6282792200000005,3.6
255,->,257,-0.17407,20,6.06007298,6.1
255,->,267,-0.29921,20,17.905324819999997,17.9
251,->,257,0.36816,34,27.108357119999997,27.1
253,->,261,-0.14855,34,4.4134205,4.4
254,->,265,0.51738,34,53.53641287999999,53.5
255,->,268,-0.19664,34,7.73345792,7.7
253,->,259,-0.17417,40,6.06703778,6.1
253,->,262,0.64213,40,82.46618738,82.5
253,->,265,0.13117,40,3.4411137800000007,3.4
254,->,263,-0.13843,40,3.83257298,3.8
245,->,256,0.21770,42,9.478658000000001,9.5
247,->,256,0.39005,42,30.427800500000004,30.4
248,->,257,-0.37289,42,27.809390420000003,27.8
254,->,267,0.20304,42,8.245048319999999,8.2
255,->,269,0.20483,42,8.391065780000002,8.4
246,->,256,-0.20719,44,8.585539220000001,8.6
249,->,257,-0.12078,44,2.91756168,2.9
252,->,258,0.47367,44,44.87265377999999,44.9
252,->,261,0.18405,44,6.774880499999999,6.8
253,->,265,0.38627,44,29.84090258,29.8
246,->,256,0.23625,45,11.1628125,11.2
249,->,257,0.12829,45,3.2916648199999994,3.3
252,->,258,0.42632,45,36.349748479999995,36.3
252,->,261,0.19835,45,7.8685445,7.9
253,->,262,0.12143,45,2.9490489799999997,2.9
253,->,265,-0.40565,45,32.9103845,32.9
246,->,256,0.62286,48,77.59091591999999,77.6
253,->,265,0.29559,48,17.474689620000003,17.5
243,->,256,-0.16825,55,5.661612500000001,5.7
245,->,256,0.42558,55,36.22366728000001,36.2
248,->,257,0.24226,55,11.73798152,11.7
251,->,257,0.31624,55,20.001547520000003,20.0
252,->,257,0.11373,55,2.5869025800000003,2.6
253,->,264,-0.19446,55,7.56293832,7.6
254,->,265,-0.11729,55,2.7513888200000003,2.8
252,->,262,-0.17473,58,6.10611458,6.1
252,->,265,0.65128,58,84.83312767999999,84.8
252,->,267,0.11469,58,2.63075922,2.6
245,->,257,0.15301,63,4.682412020000001,4.7
247,->,257,0.15858,63,5.02952328,5.0
254,->,268,0.46449,63,43.15019202,43.2
255,->,270,-0.23878,63,11.40317768,11.4
255,->,271,0.34546,63,23.86852232,23.9
255,->,273,0.17049,63,5.81336802,5.8
239,->,256,-0.24336,64,11.844817919999999,11.8
243,->,256,0.31226,64,19.50126152,19.5
245,->,256,0.13098,64,3.431152080000001,3.4
249,->,269,0.17238,64,5.94297288,5.9
249,->,277,0.10815,64,2.3392844999999998,2.3
252,->,267,0.10490,64,2.2008019999999995,2.2
253,->,269,0.41560,64,34.544672000000006,34.5
253,->,277,0.22580,64,10.197128,10.2
255,->,269,0.12109,64,2.9325576200000003,2.9
239,->,256,-0.19657,68,7.7279529799999995,7.7
243,->,256,0.48442,68,46.93254728,46.9
249,->,269,-0.10989,68,2.4151624199999997,2.4
253,->,269,-0.32663,68,21.337431379999998,21.3
253,->,277,-0.16801,68,5.64547202,5.6
255,->,269,-0.10041,68,2.01643362,2.0
255,->,272,0.13064,68,3.4133619200000007,3.4
