0,1,2,3,Excited_State,%,round_%
233,->,236,-0.11283,1,2.54612178,2.5
234,->,235,0.69319,1,96.10247521999999,96.1
231,->,235,0.13183,3,3.4758297800000006,3.5
232,->,235,0.55288,3,61.13525888000001,61.1
233,->,235,0.21143,3,8.940528980000002,8.9
234,->,236,-0.34486,3,23.78568392,23.8
230,->,235,0.12133,10,2.94419378,2.9
231,->,235,0.12485,10,3.1175045000000003,3.1
232,->,236,0.20505,10,8.409100500000001,8.4
233,->,236,0.60757,10,73.82826098000001,73.8
234,->,236,0.10080,10,2.032128,2.0
229,->,235,0.49670,12,49.342178,49.3
230,->,235,0.21273,12,9.05081058,9.1
232,->,235,0.21219,12,9.00491922,9.0
233,->,235,-0.18760,12,7.038752,7.0
233,->,236,-0.10754,12,2.31297032,2.3
234,->,236,0.25112,12,12.612250880000001,12.6
234,->,244,-0.13197,12,3.4832161800000003,3.5
228,->,235,0.10598,13,2.2463520800000003,2.2
229,->,235,0.49234,13,48.47973512,48.5
230,->,235,-0.24877,13,12.377302579999998,12.4
232,->,235,-0.19770,13,7.817057999999999,7.8
233,->,235,0.17294,13,5.981648720000001,6.0
233,->,236,0.13792,13,3.804385279999999,3.8
234,->,236,-0.22891,13,10.47995762,10.5
234,->,244,0.12248,13,3.0002700800000004,3.0
230,->,235,0.32362,16,20.945980880000004,20.9
232,->,235,-0.13043,16,3.40239698,3.4
232,->,236,0.13254,16,3.51337032,3.5
234,->,236,-0.11541,16,2.6638936199999996,2.7
234,->,244,-0.12560,16,3.1550719999999997,3.2
234,->,245,0.54879,16,60.234092819999994,60.2
228,->,235,-0.17055,17,5.8174605,5.8
230,->,235,-0.29555,17,17.4699605,17.5
231,->,236,-0.40034,17,32.054423119999996,32.1
232,->,236,0.41812,17,34.96486688,35.0
233,->,236,-0.10427,17,2.17444658,2.2
228,->,235,-0.12742,18,3.2471712800000003,3.2
230,->,235,-0.28677,18,16.447406580000003,16.4
231,->,236,0.17561,18,6.167774419999999,6.2
232,->,235,0.21685,18,9.4047845,9.4
232,->,236,-0.20440,18,8.355872,8.4
233,->,235,-0.15902,18,5.057472079999999,5.1
234,->,236,0.20870,18,8.711138,8.7
234,->,244,0.13759,18,3.7862016199999995,3.8
234,->,245,0.41208,18,33.96198528,34.0
228,->,235,-0.23828,19,11.355471679999999,11.4
231,->,236,0.50689,19,51.38749441999999,51.4
232,->,235,-0.10300,19,2.1218,2.1
