0,1,2,3,Excited_State,%,round_%
233,->,236,-0.37224,1,27.712523520000005,27.7
234,->,235,0.59535,1,70.88832450000001,70.9
231,->,235,-0.36169,7,26.163931220000002,26.2
232,->,236,0.58334,7,68.05711111999999,68.1
233,->,236,-0.12611,7,3.18074642,3.2
229,->,235,-0.12683,8,3.2171697799999994,3.2
229,->,236,0.10143,8,2.0576089800000004,2.1
232,->,236,0.13137,8,3.451615379999999,3.5
233,->,235,-0.24925,8,12.425112500000001,12.4
233,->,236,0.46786,8,43.77859592,43.8
234,->,235,0.28807,8,16.59686498,16.6
234,->,236,0.26749,8,14.310180020000002,14.3
233,->,235,-0.40293,9,32.47051698,32.5
233,->,236,-0.30336,9,18.40545792,18.4
234,->,235,-0.19441,9,7.55904962,7.6
234,->,236,0.40958,9,33.55115528,33.6
229,->,235,0.67683,11,91.61976978000001,91.6
229,->,236,0.57162,13,65.34988488,65.3
234,->,237,-0.36642,13,26.852723280000003,26.9
224,->,235,-0.16640,14,5.537792,5.5
225,->,235,-0.14344,14,4.115006720000001,4.1
226,->,235,-0.30613,14,18.743115380000003,18.7
228,->,235,0.31737,14,20.144743379999998,20.1
232,->,237,-0.10262,14,2.1061728800000004,2.1
233,->,237,0.45178,14,40.82103368,40.8
223,->,235,-0.15453,22,4.7759041799999995,4.8
224,->,235,-0.14492,22,4.20036128,4.2
224,->,236,0.13438,22,3.61159688,3.6
225,->,235,-0.14254,22,4.06353032,4.1
225,->,236,0.14724,22,4.335923520000001,4.3
226,->,235,-0.12173,22,2.96363858,3.0
226,->,236,0.26489,22,14.033342420000002,14.0
228,->,236,-0.24813,22,12.31369938,12.3
231,->,237,0.35370,22,25.020738000000005,25.0
232,->,237,0.25827,22,13.34067858,13.3
234,->,240,0.14557,22,4.23812498,4.2
223,->,235,0.18863,23,7.11625538,7.1
224,->,235,0.57782,23,66.77519048,66.8
225,->,235,-0.21530,23,9.270817999999998,9.3
226,->,235,-0.12009,23,2.88432162,2.9
228,->,236,-0.10649,23,2.26802402,2.3
224,->,235,0.11203,24,2.51014418,2.5
231,->,237,-0.13218,24,3.4943104799999993,3.5
232,->,237,0.58836,24,69.23349791999999,69.2
234,->,240,-0.20055,24,8.0440605,8.0
234,->,241,0.11789,24,2.7796104199999996,2.8
218,->,235,0.16566,49,5.48864712,5.5
219,->,235,-0.36731,49,26.983327220000003,27.0
222,->,236,-0.17559,49,6.16636962,6.2
233,->,241,0.42949,49,36.89233202,36.9
233,->,242,-0.17727,49,6.28493058,6.3
233,->,248,0.13849,49,3.83589602,3.8
234,->,246,0.12267,49,3.00958578,3.0
217,->,235,-0.15003,71,4.50180018,4.5
219,->,236,0.20208,71,8.16726528,8.2
231,->,240,0.12450,71,3.10005,3.1
231,->,241,-0.23957,71,11.47875698,11.5
231,->,242,0.10496,71,2.20332032,2.2
232,->,241,0.48608,71,47.25475328,47.3
232,->,242,-0.19764,71,7.812313920000001,7.8
232,->,248,-0.16169,71,5.22873122,5.2
229,->,237,-0.11514,72,2.65144392,2.7
231,->,241,0.53678,72,57.62655368,57.6
231,->,242,-0.18406,72,6.7756167199999995,6.8
231,->,248,-0.17422,72,6.070521680000001,6.1
232,->,241,0.29745,72,17.6953005,17.7
