ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_dithiophene_OH_2.UDS
ï™êÕì˙éû:	14:50:25, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
800.00	0.001
799.50	0.001
799.00	0.001
798.50	0.001
798.00	0.000
797.50	0.000
797.00	0.000
796.50	0.001
796.00	0.001
795.50	0.001
795.00	0.001
794.50	0.001
794.00	0.001
793.50	0.001
793.00	0.001
792.50	0.001
792.00	0.001
791.50	0.001
791.00	0.001
790.50	0.001
790.00	0.001
789.50	0.001
789.00	0.001
788.50	0.001
788.00	0.001
787.50	0.001
787.00	0.001
786.50	0.001
786.00	0.001
785.50	0.001
785.00	0.001
784.50	0.001
784.00	0.001
783.50	0.001
783.00	0.001
782.50	0.001
782.00	0.001
781.50	0.001
781.00	0.000
780.50	0.000
780.00	0.001
779.50	0.001
779.00	0.001
778.50	0.001
778.00	0.001
777.50	0.001
777.00	0.001
776.50	0.001
776.00	0.001
775.50	0.001
775.00	0.001
774.50	0.001
774.00	0.001
773.50	0.001
773.00	0.001
772.50	0.001
772.00	0.001
771.50	0.001
771.00	0.001
770.50	0.001
770.00	0.001
769.50	0.002
769.00	0.002
768.50	0.002
768.00	0.002
767.50	0.002
767.00	0.001
766.50	0.001
766.00	0.001
765.50	0.001
765.00	0.001
764.50	0.001
764.00	0.001
763.50	0.001
763.00	0.001
762.50	0.001
762.00	0.002
761.50	0.002
761.00	0.002
760.50	0.002
760.00	0.002
759.50	0.002
759.00	0.003
758.50	0.003
758.00	0.003
757.50	0.003
757.00	0.003
756.50	0.003
756.00	0.003
755.50	0.003
755.00	0.002
754.50	0.002
754.00	0.002
753.50	0.003
753.00	0.003
752.50	0.003
752.00	0.003
751.50	0.003
751.00	0.003
750.50	0.003
750.00	0.003
749.50	0.003
749.00	0.003
748.50	0.003
748.00	0.003
747.50	0.004
747.00	0.004
746.50	0.004
746.00	0.004
745.50	0.004
745.00	0.004
744.50	0.005
744.00	0.005
743.50	0.005
743.00	0.005
742.50	0.005
742.00	0.005
741.50	0.005
741.00	0.006
740.50	0.006
740.00	0.006
739.50	0.006
739.00	0.006
738.50	0.006
738.00	0.006
737.50	0.007
737.00	0.007
736.50	0.007
736.00	0.008
735.50	0.008
735.00	0.008
734.50	0.008
734.00	0.008
733.50	0.009
733.00	0.009
732.50	0.009
732.00	0.010
731.50	0.010
731.00	0.010
730.50	0.010
730.00	0.011
729.50	0.011
729.00	0.011
728.50	0.011
728.00	0.012
727.50	0.012
727.00	0.013
726.50	0.014
726.00	0.014
725.50	0.015
725.00	0.015
724.50	0.016
724.00	0.017
723.50	0.017
723.00	0.018
722.50	0.018
722.00	0.019
721.50	0.020
721.00	0.021
720.50	0.021
720.00	0.022
719.50	0.023
719.00	0.023
718.50	0.024
718.00	0.025
717.50	0.025
717.00	0.026
716.50	0.027
716.00	0.028
715.50	0.029
715.00	0.030
714.50	0.031
714.00	0.032
713.50	0.033
713.00	0.033
712.50	0.034
712.00	0.035
711.50	0.036
711.00	0.037
710.50	0.038
710.00	0.039
709.50	0.040
709.00	0.042
708.50	0.043
708.00	0.044
707.50	0.045
707.00	0.046
706.50	0.047
706.00	0.048
705.50	0.050
705.00	0.051
704.50	0.052
704.00	0.053
703.50	0.054
703.00	0.055
702.50	0.056
702.00	0.057
701.50	0.058
701.00	0.059
700.50	0.061
700.00	0.062
699.50	0.063
699.00	0.064
698.50	0.065
698.00	0.066
697.50	0.067
697.00	0.068
696.50	0.069
696.00	0.070
695.50	0.071
695.00	0.072
694.50	0.073
694.00	0.074
693.50	0.075
693.00	0.076
692.50	0.076
692.00	0.077
691.50	0.078
691.00	0.078
690.50	0.079
690.00	0.079
689.50	0.080
689.00	0.080
688.50	0.081
688.00	0.081
687.50	0.081
687.00	0.082
686.50	0.082
686.00	0.082
685.50	0.082
685.00	0.082
684.50	0.082
684.00	0.082
683.50	0.082
683.00	0.082
682.50	0.082
682.00	0.082
681.50	0.081
681.00	0.081
680.50	0.081
680.00	0.080
679.50	0.080
679.00	0.079
678.50	0.079
678.00	0.079
677.50	0.078
677.00	0.078
676.50	0.077
676.00	0.076
675.50	0.076
675.00	0.075
674.50	0.074
674.00	0.073
673.50	0.072
673.00	0.071
672.50	0.071
672.00	0.070
671.50	0.069
671.00	0.068
670.50	0.067
670.00	0.066
669.50	0.065
669.00	0.065
668.50	0.064
668.00	0.063
667.50	0.062
667.00	0.061
666.50	0.060
666.00	0.059
665.50	0.058
665.00	0.057
664.50	0.056
664.00	0.055
663.50	0.054
663.00	0.054
662.50	0.053
662.00	0.052
661.50	0.052
661.00	0.051
660.50	0.050
660.00	0.049
659.50	0.048
659.00	0.048
658.50	0.047
658.00	0.046
657.50	0.046
657.00	0.045
656.50	0.045
656.00	0.044
655.50	0.044
655.00	0.043
654.50	0.043
654.00	0.043
653.50	0.042
653.00	0.041
652.50	0.041
652.00	0.040
651.50	0.040
651.00	0.039
650.50	0.039
650.00	0.039
649.50	0.039
649.00	0.038
648.50	0.038
648.00	0.037
647.50	0.037
647.00	0.037
646.50	0.037
646.00	0.037
645.50	0.037
645.00	0.037
644.50	0.037
644.00	0.037
643.50	0.037
643.00	0.037
642.50	0.037
642.00	0.036
641.50	0.036
641.00	0.036
640.50	0.036
640.00	0.036
639.50	0.036
639.00	0.036
638.50	0.036
638.00	0.036
637.50	0.036
637.00	0.036
636.50	0.036
636.00	0.035
635.50	0.035
635.00	0.035
634.50	0.035
634.00	0.035
633.50	0.035
633.00	0.035
632.50	0.035
632.00	0.035
631.50	0.035
631.00	0.035
630.50	0.035
