ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_dithiophene_OH_max.UDS
ï™êÕì˙éû:	18:10:19, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
800.00	0.005
799.50	0.005
799.00	0.005
798.50	0.005
798.00	0.005
797.50	0.005
797.00	0.005
796.50	0.005
796.00	0.005
795.50	0.006
795.00	0.006
794.50	0.006
794.00	0.006
793.50	0.006
793.00	0.006
792.50	0.006
792.00	0.006
791.50	0.006
791.00	0.006
790.50	0.006
790.00	0.006
789.50	0.005
789.00	0.006
788.50	0.006
788.00	0.006
787.50	0.006
787.00	0.006
786.50	0.006
786.00	0.006
785.50	0.006
785.00	0.005
784.50	0.005
784.00	0.006
783.50	0.006
783.00	0.006
782.50	0.006
782.00	0.006
781.50	0.006
781.00	0.006
780.50	0.006
780.00	0.006
779.50	0.006
779.00	0.006
778.50	0.006
778.00	0.006
777.50	0.006
777.00	0.006
776.50	0.006
776.00	0.006
775.50	0.006
775.00	0.007
774.50	0.007
774.00	0.007
773.50	0.007
773.00	0.007
772.50	0.007
772.00	0.007
771.50	0.007
771.00	0.007
770.50	0.007
770.00	0.007
769.50	0.007
769.00	0.008
768.50	0.008
768.00	0.008
767.50	0.008
767.00	0.008
766.50	0.007
766.00	0.007
765.50	0.008
765.00	0.008
764.50	0.008
764.00	0.008
763.50	0.008
763.00	0.008
762.50	0.008
762.00	0.008
761.50	0.008
761.00	0.009
760.50	0.009
760.00	0.009
759.50	0.010
759.00	0.010
758.50	0.010
758.00	0.010
757.50	0.010
757.00	0.010
756.50	0.010
756.00	0.010
755.50	0.010
755.00	0.010
754.50	0.011
754.00	0.011
753.50	0.011
753.00	0.011
752.50	0.011
752.00	0.012
751.50	0.012
751.00	0.012
750.50	0.012
750.00	0.012
749.50	0.012
749.00	0.013
748.50	0.013
748.00	0.013
747.50	0.013
747.00	0.013
746.50	0.013
746.00	0.014
745.50	0.014
745.00	0.014
744.50	0.014
744.00	0.015
743.50	0.015
743.00	0.015
742.50	0.016
742.00	0.016
741.50	0.016
741.00	0.017
740.50	0.017
740.00	0.017
739.50	0.017
739.00	0.018
738.50	0.018
738.00	0.018
737.50	0.019
737.00	0.019
736.50	0.020
736.00	0.020
735.50	0.021
735.00	0.021
734.50	0.022
734.00	0.022
733.50	0.023
733.00	0.024
732.50	0.024
732.00	0.025
731.50	0.026
731.00	0.026
730.50	0.027
730.00	0.028
729.50	0.028
729.00	0.029
728.50	0.030
728.00	0.030
727.50	0.032
727.00	0.033
726.50	0.034
726.00	0.035
725.50	0.036
725.00	0.037
724.50	0.039
724.00	0.039
723.50	0.040
723.00	0.042
722.50	0.043
722.00	0.044
721.50	0.046
721.00	0.047
720.50	0.049
720.00	0.051
719.50	0.052
719.00	0.054
718.50	0.055
718.00	0.057
717.50	0.059
717.00	0.061
716.50	0.063
716.00	0.064
715.50	0.066
715.00	0.068
714.50	0.070
714.00	0.072
713.50	0.074
713.00	0.076
712.50	0.079
712.00	0.081
711.50	0.084
711.00	0.086
710.50	0.089
710.00	0.092
709.50	0.094
709.00	0.097
708.50	0.100
708.00	0.102
707.50	0.105
707.00	0.108
706.50	0.112
706.00	0.115
705.50	0.118
705.00	0.121
704.50	0.124
704.00	0.128
703.50	0.131
703.00	0.135
702.50	0.138
702.00	0.141
701.50	0.145
701.00	0.148
700.50	0.151
700.00	0.155
699.50	0.158
699.00	0.162
698.50	0.165
698.00	0.169
697.50	0.173
697.00	0.176
696.50	0.180
696.00	0.184
695.50	0.187
695.00	0.190
694.50	0.194
694.00	0.197
693.50	0.201
693.00	0.204
692.50	0.207
692.00	0.211
691.50	0.214
691.00	0.216
690.50	0.219
690.00	0.222
689.50	0.225
689.00	0.228
688.50	0.230
688.00	0.233
687.50	0.235
687.00	0.237
686.50	0.239
686.00	0.241
685.50	0.243
685.00	0.245
684.50	0.246
684.00	0.248
683.50	0.249
683.00	0.250
682.50	0.251
682.00	0.252
681.50	0.253
681.00	0.254
680.50	0.254
680.00	0.254
679.50	0.254
679.00	0.254
678.50	0.254
678.00	0.253
677.50	0.253
677.00	0.252
676.50	0.252
676.00	0.251
675.50	0.249
675.00	0.248
674.50	0.247
674.00	0.245
673.50	0.243
673.00	0.241
672.50	0.239
672.00	0.237
671.50	0.235
671.00	0.233
670.50	0.231
670.00	0.229
669.50	0.226
669.00	0.224
668.50	0.221
668.00	0.219
667.50	0.216
667.00	0.213
666.50	0.210
666.00	0.207
665.50	0.204
665.00	0.201
664.50	0.198
664.00	0.195
663.50	0.192
663.00	0.189
662.50	0.186
662.00	0.183
661.50	0.181
661.00	0.178
660.50	0.175
660.00	0.173
659.50	0.170
659.00	0.167
658.50	0.164
658.00	0.161
657.50	0.159
657.00	0.156
656.50	0.153
656.00	0.151
655.50	0.149
655.00	0.147
654.50	0.144
654.00	0.142
653.50	0.140
653.00	0.138
652.50	0.136
652.00	0.133
651.50	0.131
651.00	0.130
650.50	0.128
650.00	0.126
649.50	0.125
649.00	0.123
648.50	0.122
648.00	0.120
647.50	0.119
647.00	0.117
646.50	0.116
646.00	0.115
645.50	0.114
645.00	0.113
644.50	0.112
644.00	0.112
643.50	0.111
643.00	0.110
642.50	0.109
642.00	0.108
641.50	0.108
641.00	0.107
640.50	0.106
640.00	0.106
639.50	0.105
639.00	0.105
638.50	0.104
638.00	0.103
637.50	0.103
637.00	0.103
636.50	0.102
636.00	0.102
635.50	0.102
635.00	0.101
634.50	0.101
634.00	0.101
633.50	0.100
633.00	0.100
632.50	0.100
632.00	0.100
631.50	0.099
631.00	0.099
630.50	0.099
630.00	0.099
629.50	0.099
629.00	0.098
628.50	0.098
628.00	0.097
627.50	0.097
627.00	0.097
626.50	0.097
626.00	0.096
625.50	0.096
625.00	0.096
624.50	0.095
624.00	0.095
623.50	0.094
623.00	0.093
622.50	0.093
622.00	0.093
621.50	0.093
621.00	0.092
620.50	0.092
620.00	0.092
619.50	0.091
619.00	0.091
618.50	0.090
618.00	0.090
617.50	0.090
617.00	0.090
616.50	0.090
616.00	0.090
615.50	0.090
615.00	0.090
614.50	0.090
614.00	0.089
613.50	0.089
613.00	0.089
612.50	0.089
612.00	0.088
611.50	0.088
611.00	0.088
610.50	0.087
610.00	0.087
609.50	0.087
609.00	0.086
608.50	0.086
608.00	0.085
607.50	0.084
607.00	0.084
606.50	0.083
606.00	0.082
605.50	0.082
605.00	0.081
604.50	0.080
604.00	0.080
603.50	0.079
603.00	0.078
602.50	0.078
602.00	0.077
601.50	0.076
601.00	0.076
600.50	0.075
600.00	0.075
599.50	0.075
599.00	0.074
598.50	0.074
598.00	0.074
597.50	0.075
597.00	0.075
596.50	0.075
596.00	0.075
595.50	0.075
595.00	0.075
594.50	0.075
594.00	0.075
593.50	0.074
