ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiazole_OH_max.UDS
ï™êÕì˙éû:	18:06:48, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
800.00	0.006
799.50	0.006
799.00	0.006
798.50	0.006
798.00	0.006
797.50	0.006
797.00	0.006
796.50	0.006
796.00	0.006
795.50	0.006
795.00	0.006
794.50	0.006
794.00	0.005
793.50	0.005
793.00	0.006
792.50	0.006
792.00	0.006
791.50	0.006
791.00	0.006
790.50	0.006
790.00	0.006
789.50	0.006
789.00	0.006
788.50	0.006
788.00	0.006
787.50	0.006
787.00	0.006
786.50	0.006
786.00	0.006
785.50	0.006
785.00	0.006
784.50	0.006
784.00	0.006
783.50	0.006
783.00	0.006
782.50	0.006
782.00	0.006
781.50	0.006
781.00	0.006
780.50	0.006
780.00	0.007
779.50	0.007
779.00	0.007
778.50	0.007
778.00	0.007
777.50	0.007
777.00	0.007
776.50	0.007
776.00	0.007
775.50	0.007
775.00	0.007
774.50	0.007
774.00	0.007
773.50	0.008
773.00	0.008
772.50	0.008
772.00	0.008
771.50	0.008
771.00	0.008
770.50	0.008
770.00	0.008
769.50	0.008
769.00	0.008
768.50	0.008
768.00	0.009
767.50	0.009
767.00	0.009
766.50	0.009
766.00	0.009
765.50	0.009
765.00	0.009
764.50	0.009
764.00	0.009
763.50	0.009
763.00	0.008
762.50	0.008
762.00	0.009
761.50	0.009
761.00	0.009
760.50	0.009
760.00	0.010
759.50	0.010
759.00	0.010
758.50	0.010
758.00	0.010
757.50	0.010
757.00	0.010
756.50	0.010
756.00	0.010
755.50	0.010
755.00	0.010
754.50	0.010
754.00	0.010
753.50	0.010
753.00	0.010
752.50	0.011
752.00	0.011
751.50	0.011
751.00	0.011
750.50	0.011
750.00	0.012
749.50	0.012
749.00	0.012
748.50	0.012
748.00	0.011
747.50	0.012
747.00	0.012
746.50	0.012
746.00	0.012
745.50	0.012
745.00	0.013
744.50	0.013
744.00	0.013
743.50	0.014
743.00	0.014
742.50	0.014
742.00	0.014
741.50	0.014
741.00	0.014
740.50	0.014
740.00	0.014
739.50	0.014
739.00	0.014
738.50	0.015
738.00	0.015
737.50	0.015
737.00	0.016
736.50	0.016
736.00	0.016
735.50	0.016
735.00	0.016
734.50	0.016
734.00	0.017
733.50	0.017
733.00	0.017
732.50	0.018
732.00	0.018
731.50	0.019
731.00	0.019
730.50	0.019
730.00	0.019
729.50	0.019
729.00	0.019
728.50	0.020
728.00	0.020
727.50	0.020
727.00	0.021
726.50	0.022
726.00	0.022
725.50	0.022
725.00	0.023
724.50	0.023
724.00	0.024
723.50	0.024
723.00	0.025
722.50	0.026
722.00	0.026
721.50	0.027
721.00	0.028
720.50	0.028
720.00	0.029
719.50	0.030
719.00	0.030
718.50	0.031
718.00	0.032
717.50	0.033
717.00	0.033
716.50	0.034
716.00	0.035
715.50	0.036
715.00	0.037
714.50	0.038
714.00	0.038
713.50	0.039
713.00	0.040
712.50	0.041
712.00	0.043
711.50	0.044
711.00	0.046
710.50	0.048
710.00	0.049
709.50	0.050
709.00	0.052
708.50	0.053
708.00	0.055
707.50	0.056
707.00	0.058
706.50	0.060
706.00	0.062
705.50	0.064
705.00	0.066
704.50	0.068
704.00	0.071
703.50	0.073
703.00	0.075
702.50	0.077
702.00	0.079
701.50	0.082
701.00	0.084
700.50	0.087
700.00	0.090
699.50	0.093
699.00	0.095
698.50	0.098
698.00	0.101
697.50	0.104
697.00	0.108
696.50	0.111
696.00	0.114
695.50	0.117
695.00	0.121
694.50	0.124
694.00	0.128
693.50	0.131
693.00	0.135
692.50	0.138
692.00	0.142
691.50	0.145
691.00	0.149
690.50	0.153
690.00	0.156
689.50	0.160
689.00	0.164
688.50	0.168
688.00	0.172
687.50	0.176
687.00	0.180
686.50	0.183
686.00	0.187
685.50	0.191
685.00	0.195
684.50	0.198
684.00	0.202
683.50	0.205
683.00	0.209
682.50	0.212
682.00	0.216
681.50	0.219
681.00	0.222
680.50	0.226
680.00	0.229
679.50	0.232
679.00	0.234
678.50	0.237
678.00	0.240
677.50	0.242
677.00	0.245
676.50	0.247
676.00	0.249
675.50	0.251
675.00	0.252
674.50	0.253
674.00	0.254
673.50	0.255
673.00	0.256
672.50	0.257
672.00	0.258
671.50	0.258
671.00	0.259
670.50	0.259
670.00	0.259
669.50	0.259
669.00	0.258
668.50	0.257
668.00	0.257
667.50	0.256
667.00	0.254
666.50	0.253
666.00	0.251
665.50	0.250
665.00	0.248
664.50	0.246
664.00	0.243
663.50	0.241
663.00	0.238
662.50	0.236
662.00	0.233
661.50	0.231
661.00	0.228
660.50	0.225
660.00	0.222
659.50	0.219
659.00	0.215
658.50	0.212
658.00	0.209
657.50	0.205
657.00	0.202
656.50	0.199
656.00	0.195
655.50	0.192
655.00	0.189
654.50	0.186
654.00	0.182
653.50	0.179
653.00	0.176
652.50	0.173
652.00	0.169
651.50	0.166
651.00	0.163
650.50	0.160
650.00	0.157
649.50	0.154
649.00	0.151
648.50	0.148
648.00	0.145
647.50	0.143
647.00	0.140
646.50	0.138
646.00	0.135
645.50	0.133
645.00	0.131
644.50	0.129
644.00	0.127
643.50	0.125
643.00	0.123
642.50	0.121
642.00	0.119
641.50	0.118
641.00	0.116
640.50	0.115
640.00	0.113
639.50	0.112
639.00	0.110
638.50	0.109
638.00	0.108
637.50	0.106
637.00	0.105
636.50	0.104
636.00	0.103
635.50	0.102
635.00	0.102
634.50	0.101
634.00	0.100
633.50	0.100
633.00	0.099
632.50	0.098
632.00	0.098
631.50	0.097
631.00	0.097
630.50	0.096
630.00	0.096
629.50	0.096
629.00	0.095
628.50	0.095
628.00	0.094
627.50	0.094
627.00	0.094
626.50	0.093
