ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiophene_OH_7.UDS
ï™êÕì˙éû:	16:57:00, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
800.00	0.003
799.50	0.003
799.00	0.003
798.50	0.003
798.00	0.004
797.50	0.004
797.00	0.004
796.50	0.004
796.00	0.004
795.50	0.004
795.00	0.004
794.50	0.004
794.00	0.004
793.50	0.004
793.00	0.004
792.50	0.004
792.00	0.004
791.50	0.004
791.00	0.004
790.50	0.004
790.00	0.004
789.50	0.004
789.00	0.004
788.50	0.004
788.00	0.004
787.50	0.004
787.00	0.004
786.50	0.004
786.00	0.003
785.50	0.003
785.00	0.003
784.50	0.003
784.00	0.004
783.50	0.004
783.00	0.004
782.50	0.004
782.00	0.004
781.50	0.004
781.00	0.004
780.50	0.004
780.00	0.004
779.50	0.004
779.00	0.004
778.50	0.004
778.00	0.005
777.50	0.005
777.00	0.005
776.50	0.005
776.00	0.005
775.50	0.004
775.00	0.004
774.50	0.004
774.00	0.004
773.50	0.004
773.00	0.005
772.50	0.005
772.00	0.005
771.50	0.005
771.00	0.005
770.50	0.005
770.00	0.005
769.50	0.005
769.00	0.005
768.50	0.005
768.00	0.005
767.50	0.005
767.00	0.005
766.50	0.005
766.00	0.005
765.50	0.005
765.00	0.006
764.50	0.006
764.00	0.006
763.50	0.006
763.00	0.006
762.50	0.005
762.00	0.005
761.50	0.006
761.00	0.006
760.50	0.006
760.00	0.006
759.50	0.007
759.00	0.007
758.50	0.007
758.00	0.007
757.50	0.007
757.00	0.007
756.50	0.007
756.00	0.007
755.50	0.007
755.00	0.007
754.50	0.007
754.00	0.007
753.50	0.007
753.00	0.007
752.50	0.008
752.00	0.008
751.50	0.008
751.00	0.008
750.50	0.008
750.00	0.008
749.50	0.008
749.00	0.008
748.50	0.008
748.00	0.008
747.50	0.009
747.00	0.009
746.50	0.009
746.00	0.010
745.50	0.010
745.00	0.010
744.50	0.010
744.00	0.010
743.50	0.011
743.00	0.011
742.50	0.011
742.00	0.011
741.50	0.012
741.00	0.012
740.50	0.012
740.00	0.012
739.50	0.012
739.00	0.012
738.50	0.013
738.00	0.013
737.50	0.014
737.00	0.014
736.50	0.014
736.00	0.015
735.50	0.015
735.00	0.015
734.50	0.015
734.00	0.016
733.50	0.016
733.00	0.017
732.50	0.017
732.00	0.018
731.50	0.018
731.00	0.019
730.50	0.019
730.00	0.020
729.50	0.020
729.00	0.020
728.50	0.021
728.00	0.021
727.50	0.022
727.00	0.023
726.50	0.024
726.00	0.025
725.50	0.026
725.00	0.026
724.50	0.027
724.00	0.028
723.50	0.029
723.00	0.029
722.50	0.031
722.00	0.032
721.50	0.033
721.00	0.034
720.50	0.035
720.00	0.036
719.50	0.037
719.00	0.038
718.50	0.040
718.00	0.041
717.50	0.042
717.00	0.043
716.50	0.045
716.00	0.046
715.50	0.047
715.00	0.049
714.50	0.050
714.00	0.052
713.50	0.053
713.00	0.055
712.50	0.056
712.00	0.058
711.50	0.060
711.00	0.062
710.50	0.064
710.00	0.066
709.50	0.068
709.00	0.070
708.50	0.072
708.00	0.073
707.50	0.075
707.00	0.078
706.50	0.080
706.00	0.082
705.50	0.085
705.00	0.087
704.50	0.090
704.00	0.092
703.50	0.095
703.00	0.097
702.50	0.099
702.00	0.102
701.50	0.105
701.00	0.107
700.50	0.110
700.00	0.112
699.50	0.115
699.00	0.118
698.50	0.120
698.00	0.123
697.50	0.126
697.00	0.129
696.50	0.131
696.00	0.134
695.50	0.137
695.00	0.140
694.50	0.142
694.00	0.145
693.50	0.147
693.00	0.150
692.50	0.152
692.00	0.155
691.50	0.157
691.00	0.160
690.50	0.162
690.00	0.164
689.50	0.167
689.00	0.169
688.50	0.171
688.00	0.173
687.50	0.175
687.00	0.176
686.50	0.178
686.00	0.180
685.50	0.182
685.00	0.183
684.50	0.184
684.00	0.185
683.50	0.187
683.00	0.188
682.50	0.189
682.00	0.190
681.50	0.191
681.00	0.191
680.50	0.192
680.00	0.192
679.50	0.192
679.00	0.193
678.50	0.193
