ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiophene_OH_max.UDS
ï™êÕì˙éû:	18:02:11, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
800.00	0.005
799.50	0.005
799.00	0.005
798.50	0.005
798.00	0.005
797.50	0.005
797.00	0.005
796.50	0.005
796.00	0.005
795.50	0.005
795.00	0.005
794.50	0.005
794.00	0.005
793.50	0.005
793.00	0.005
792.50	0.006
792.00	0.006
791.50	0.006
791.00	0.006
790.50	0.006
790.00	0.006
789.50	0.005
789.00	0.006
788.50	0.006
788.00	0.006
787.50	0.006
787.00	0.006
786.50	0.006
786.00	0.005
785.50	0.005
785.00	0.005
784.50	0.006
784.00	0.006
783.50	0.006
783.00	0.006
782.50	0.006
782.00	0.006
781.50	0.006
781.00	0.006
780.50	0.006
780.00	0.006
779.50	0.006
779.00	0.006
778.50	0.006
778.00	0.006
777.50	0.006
777.00	0.006
776.50	0.006
776.00	0.006
775.50	0.006
775.00	0.006
774.50	0.006
774.00	0.006
773.50	0.006
773.00	0.006
772.50	0.006
772.00	0.006
771.50	0.007
771.00	0.007
770.50	0.007
770.00	0.007
769.50	0.007
769.00	0.007
768.50	0.007
768.00	0.007
767.50	0.007
767.00	0.007
766.50	0.007
766.00	0.007
765.50	0.007
765.00	0.007
764.50	0.007
764.00	0.007
763.50	0.007
763.00	0.007
762.50	0.007
762.00	0.007
761.50	0.008
761.00	0.008
760.50	0.008
760.00	0.008
759.50	0.008
759.00	0.008
758.50	0.009
758.00	0.009
757.50	0.009
757.00	0.009
756.50	0.009
756.00	0.008
755.50	0.008
755.00	0.008
754.50	0.009
754.00	0.009
753.50	0.009
753.00	0.009
752.50	0.009
752.00	0.009
751.50	0.010
751.00	0.010
750.50	0.010
750.00	0.010
749.50	0.010
749.00	0.010
748.50	0.010
748.00	0.010
747.50	0.010
747.00	0.010
746.50	0.010
746.00	0.011
745.50	0.011
745.00	0.011
744.50	0.011
744.00	0.012
743.50	0.012
743.00	0.012
742.50	0.012
742.00	0.012
741.50	0.012
741.00	0.013
740.50	0.013
740.00	0.013
739.50	0.013
739.00	0.013
738.50	0.014
738.00	0.014
737.50	0.014
737.00	0.015
736.50	0.015
736.00	0.015
735.50	0.016
735.00	0.016
734.50	0.016
734.00	0.016
733.50	0.017
733.00	0.017
732.50	0.018
732.00	0.018
731.50	0.019
731.00	0.019
730.50	0.020
730.00	0.020
729.50	0.020
729.00	0.021
728.50	0.021
728.00	0.022
727.50	0.022
727.00	0.023
726.50	0.024
726.00	0.025
725.50	0.025
725.00	0.026
724.50	0.026
724.00	0.027
723.50	0.028
723.00	0.029
722.50	0.030
722.00	0.031
721.50	0.031
721.00	0.032
720.50	0.033
720.00	0.034
719.50	0.035
719.00	0.036
718.50	0.037
718.00	0.038
717.50	0.040
717.00	0.041
716.50	0.042
716.00	0.043
715.50	0.044
715.00	0.045
714.50	0.047
714.00	0.048
713.50	0.050
713.00	0.051
712.50	0.052
712.00	0.054
711.50	0.056
711.00	0.057
710.50	0.059
710.00	0.061
709.50	0.063
709.00	0.065
708.50	0.067
708.00	0.069
707.50	0.071
707.00	0.073
706.50	0.075
706.00	0.077
705.50	0.079
705.00	0.081
704.50	0.084
704.00	0.086
703.50	0.088
703.00	0.091
702.50	0.093
702.00	0.096
701.50	0.098
701.00	0.101
700.50	0.103
700.00	0.106
699.50	0.109
699.00	0.111
698.50	0.114
698.00	0.117
697.50	0.120
697.00	0.123
696.50	0.126
696.00	0.129
695.50	0.132
695.00	0.134
694.50	0.137
694.00	0.140
693.50	0.143
693.00	0.146
692.50	0.149
692.00	0.151
691.50	0.154
691.00	0.157
690.50	0.160
690.00	0.163
689.50	0.165
689.00	0.168
688.50	0.171
688.00	0.173
687.50	0.176
687.00	0.178
686.50	0.180
686.00	0.182
685.50	0.185
685.00	0.187
684.50	0.189
684.00	0.191
683.50	0.192
683.00	0.194
682.50	0.196
682.00	0.197
681.50	0.199
681.00	0.200
680.50	0.201
680.00	0.202
679.50	0.203
679.00	0.204
678.50	0.205
678.00	0.206
677.50	0.206
677.00	0.207
676.50	0.207
676.00	0.207
675.50	0.207
675.00	0.207
674.50	0.206
674.00	0.206
673.50	0.205
673.00	0.204
672.50	0.203
672.00	0.202
671.50	0.201
671.00	0.200
670.50	0.199
670.00	0.198
669.50	0.196
669.00	0.195
668.50	0.193
668.00	0.192
667.50	0.190
667.00	0.188
666.50	0.186
666.00	0.184
665.50	0.182
665.00	0.180
664.50	0.178
664.00	0.175
663.50	0.173
663.00	0.170
662.50	0.168
662.00	0.166
661.50	0.163
661.00	0.161
660.50	0.159
660.00	0.156
659.50	0.154
659.00	0.151
658.50	0.149
658.00	0.146
657.50	0.144
657.00	0.141
656.50	0.139
656.00	0.137
655.50	0.135
655.00	0.132
654.50	0.130
654.00	0.128
653.50	0.126
653.00	0.124
652.50	0.122
652.00	0.119
651.50	0.117
651.00	0.115
650.50	0.113
650.00	0.112
649.50	0.110
649.00	0.108
648.50	0.106
648.00	0.105
647.50	0.103
647.00	0.101
646.50	0.100
646.00	0.099
645.50	0.098
645.00	0.097
644.50	0.095
644.00	0.094
643.50	0.093
643.00	0.092
642.50	0.091
642.00	0.090
641.50	0.089
641.00	0.088
640.50	0.088
640.00	0.087
639.50	0.086
639.00	0.085
638.50	0.084
638.00	0.084
637.50	0.083
637.00	0.082
636.50	0.082
636.00	0.081
635.50	0.081
635.00	0.080
634.50	0.080
634.00	0.079
633.50	0.079
633.00	0.078
632.50	0.078
632.00	0.078
631.50	0.077
631.00	0.077
630.50	0.077
630.00	0.077
629.50	0.077
629.00	0.076
628.50	0.076
628.00	0.076
627.50	0.075
627.00	0.075
626.50	0.074
626.00	0.074
625.50	0.074
625.00	0.074
624.50	0.074
624.00	0.073
623.50	0.073
623.00	0.072
622.50	0.072
622.00	0.071
621.50	0.071
621.00	0.071
620.50	0.071
620.00	0.070
619.50	0.070
619.00	0.069
618.50	0.069
618.00	0.069
617.50	0.068
617.00	0.068
616.50	0.067
616.00	0.067
615.50	0.067
615.00	0.066
614.50	0.066
614.00	0.066
613.50	0.065
613.00	0.064
612.50	0.064
612.00	0.063
611.50	0.063
611.00	0.062
610.50	0.062
610.00	0.061
609.50	0.061
609.00	0.060
608.50	0.059
608.00	0.059
607.50	0.058
607.00	0.058
606.50	0.057
606.00	0.057
605.50	0.056
605.00	0.056
604.50	0.055
604.00	0.054
603.50	0.054
603.00	0.053
602.50	0.053
602.00	0.052
601.50	0.052
601.00	0.051
600.50	0.051
600.00	0.050
599.50	0.050
599.00	0.050
598.50	0.049
598.00	0.049
597.50	0.049
597.00	0.049
596.50	0.049
596.00	0.049
595.50	0.048
595.00	0.048
594.50	0.048
594.00	0.048
593.50	0.048
593.00	0.048
592.50	0.048
592.00	0.048
591.50	0.048
591.00	0.048
590.50	0.048
590.00	0.048
589.50	0.049
589.00	0.049
588.50	0.049
588.00	0.049
587.50	0.049
587.00	0.049
586.50	0.049
586.00	0.049
585.50	0.049
585.00	0.049
584.50	0.049
584.00	0.049
583.50	0.049
583.00	0.049
582.50	0.049
582.00	0.049
581.50	0.049
