,0
0,"['Excited', 'State', '1:', 'Singlet-A', '1.9209', 'eV', '645.43', 'nm', 'f=0.1748', '<S**2>=0.000']"
1,"['Excited', 'State', '2:', 'Singlet-A', '1.9612', 'eV', '632.18', 'nm', 'f=0.0091', '<S**2>=0.000']"
2,"['Excited', 'State', '3:', 'Singlet-A', '2.0382', 'eV', '608.30', 'nm', 'f=0.0018', '<S**2>=0.000']"
3,"['Excited', 'State', '4:', 'Singlet-A', '2.1197', 'eV', '584.91', 'nm', 'f=0.0001', '<S**2>=0.000']"
4,"['Excited', 'State', '5:', 'Singlet-A', '2.2286', 'eV', '556.33', 'nm', 'f=0.0052', '<S**2>=0.000']"
5,"['Excited', 'State', '6:', 'Singlet-A', '2.3620', 'eV', '524.91', 'nm', 'f=0.0002', '<S**2>=0.000']"
6,"['Excited', 'State', '7:', 'Singlet-A', '2.5841', 'eV', '479.81', 'nm', 'f=0.1168', '<S**2>=0.000']"
7,"['Excited', 'State', '8:', 'Singlet-A', '2.6609', 'eV', '465.95', 'nm', 'f=0.0064', '<S**2>=0.000']"
8,"['Excited', 'State', '9:', 'Singlet-A', '2.6968', 'eV', '459.74', 'nm', 'f=0.0044', '<S**2>=0.000']"
9,"['Excited', 'State', '10:', 'Singlet-A', '2.7480', 'eV', '451.18', 'nm', 'f=0.0052', '<S**2>=0.000']"
10,"['Excited', 'State', '11:', 'Singlet-A', '2.7863', 'eV', '444.97', 'nm', 'f=0.0013', '<S**2>=0.000']"
11,"['Excited', 'State', '12:', 'Singlet-A', '2.8228', 'eV', '439.22', 'nm', 'f=0.0004', '<S**2>=0.000']"
12,"['Excited', 'State', '13:', 'Singlet-A', '2.8306', 'eV', '438.02', 'nm', 'f=0.0005', '<S**2>=0.000']"
13,"['Excited', 'State', '14:', 'Singlet-A', '2.8823', 'eV', '430.16', 'nm', 'f=0.0088', '<S**2>=0.000']"
14,"['Excited', 'State', '15:', 'Singlet-A', '2.8866', 'eV', '429.51', 'nm', 'f=0.0076', '<S**2>=0.000']"
15,"['Excited', 'State', '16:', 'Singlet-A', '2.9008', 'eV', '427.41', 'nm', 'f=0.0068', '<S**2>=0.000']"
16,"['Excited', 'State', '17:', 'Singlet-A', '2.9673', 'eV', '417.83', 'nm', 'f=0.2123', '<S**2>=0.000']"
17,"['Excited', 'State', '18:', 'Singlet-A', '2.9783', 'eV', '416.29', 'nm', 'f=0.3970', '<S**2>=0.000']"
18,"['Excited', 'State', '19:', 'Singlet-A', '3.0094', 'eV', '411.99', 'nm', 'f=0.0394', '<S**2>=0.000']"
19,"['Excited', 'State', '20:', 'Singlet-A', '3.0364', 'eV', '408.33', 'nm', 'f=0.1301', '<S**2>=0.000']"
